,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,No_of_stations
0,2022-04-14T06:16:53.166Z,61.3343,-147.7792,1.9,1.3,ml,,,,0.86,ak,ak0224s3k8jo,2022-04-14T06:27:19.538Z,"53 km S of Glacier View, Alaska",earthquake,,1.3,,,automatic,ak,ak,5
1,2022-04-13T23:55:39.161Z,61.3596,-147.6063,0.0,1.4,ml,,,,0.9,ak,ak0224qqdl4b,2022-04-13T23:59:09.821Z,"50 km S of Glacier View, Alaska",earthquake,,0.6,,,automatic,ak,ak,5
15,2022-04-03T05:49:06.541Z,61.1399,-146.9206,0.0,1.8,ml,,,,1.34,ak,ak02249w8yki,2022-04-03T05:51:41.602Z,"30 km W of Valdez, Alaska",earthquake,,0.8,,,automatic,ak,ak,9
153,2022-01-31T04:36:15.740Z,61.184,-146.4196,15.3,1.0,ml,,,,0.53,ak,ak0221fc98pc,2022-02-25T00:15:02.416Z,"7 km NNW of Valdez, Alaska",earthquake,,0.7,,,reviewed,ak,ak,3
159,2022-01-29T19:05:23.484Z,61.2012,-146.4251,14.8,1.2,ml,,,,0.7,ak,ak0221c9xf7g,2022-02-24T23:57:56.129Z,Southern Alaska,earthquake,,0.3,,,reviewed,ak,ak,3
176,2022-01-22T18:53:08.741Z,61.5128,-146.6273,28.5,1.1,ml,,,,0.4,ak,ak02210outdm,2022-02-17T01:41:37.441Z,"45 km NNW of Valdez, Alaska",earthquake,,1.3,,,reviewed,ak,ak,3
257,2021-12-20T18:00:58.140Z,61.0547,-147.7425,0.0,1.3,ml,,,,0.42,ak,ak021g9qyqkv,2021-12-20T18:49:43.498Z,"59 km ENE of Whittier, Alaska",earthquake,,0.0,,,reviewed,ak,ak,7
339,2021-11-15T01:40:21.275Z,61.1448,-147.2761,5.9,1.0,ml,,,,0.59,ak,ak021enl9reu,2021-12-16T00:55:25.523Z,"44 km NW of Tatitlek, Alaska",earthquake,,0.3,,,reviewed,ak,ak,6
438,2021-09-25T22:31:38.181Z,61.0743,-147.6099,4.0,1.0,ml,,,,0.42,ak,ak021cblb3qc,2021-09-26T00:40:49.484Z,"55 km WNW of Tatitlek, Alaska",earthquake,,1.4,,,reviewed,ak,ak,5
441,2021-09-23T13:13:24.430Z,61.2895,-147.7672,0.0,1.1,ml,,,,0.63,ak,ak021c84rsez,2021-10-19T02:57:32.779Z,"58 km S of Glacier View, Alaska",earthquake,,0.0,,,reviewed,ak,ak,5
