,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,No_of_stations
15,2022-02-28T20:59:02.490Z,61.1787,-146.9064,0.0,0.9,ml,,,,0.38,ak,ak0222pwyso7,2022-04-13T22:48:37.767Z,"30 km W of Valdez, Alaska",ice quake,,0.0,,,reviewed,ak,ak,3
44,2022-01-25T10:09:06.645Z,61.1167,-147.2917,0.0,1.3,ml,,,,0.3,ak,ak02215ifyco,2022-02-16T23:37:07.671Z,"43 km NW of Tatitlek, Alaska",ice quake,,0.0,,,reviewed,ak,ak,3
54,2021-12-29T13:22:40.386Z,61.3279,-147.6791,0.0,1.1,ml,,,,0.62,ak,ak021gojyezq,2022-01-28T18:15:44.847Z,"53 km S of Glacier View, Alaska",ice quake,,0.0,,,reviewed,ak,ak,3
55,2021-12-26T15:48:33.256Z,61.1833,-147.0113,0.0,0.9,ml,,,,0.75,ak,ak021gjmosv6,2022-01-19T17:20:34.066Z,"36 km W of Valdez, Alaska",ice quake,,0.0,,,reviewed,ak,ak,4
61,2021-12-22T22:45:27.096Z,61.1879,-147.2426,0.0,0.9,ml,,,,0.4,ak,ak021gd4osiv,2022-01-15T23:07:51.624Z,"47 km NW of Tatitlek, Alaska",ice quake,,0.0,,,reviewed,ak,ak,3
63,2021-12-20T19:24:58.559Z,61.1267,-146.7236,0.0,1.1,ml,,,,1.27,ak,ak021g9rpghn,2022-01-28T20:00:18.044Z,Southern Alaska,ice quake,,0.0,,,reviewed,ak,ak,3
72,2021-12-13T22:41:19.076Z,61.0189,-147.4193,0.0,1.0,ml,,,,0.33,ak,ak021fy8tszf,2022-01-13T16:35:50.728Z,"43 km WNW of Tatitlek, Alaska",ice quake,,0.0,,,reviewed,ak,ak,3
110,2021-10-10T14:36:42.167Z,61.0094,-147.5769,0.0,1.2,ml,,,,0.73,ak,ak021d09n3tl,2021-12-06T19:06:51.170Z,"51 km WNW of Tatitlek, Alaska",ice quake,,0.0,,,reviewed,ak,ak,4
112,2021-10-07T20:53:15.322Z,61.1486,-147.476,0.0,1.2,ml,,,,0.72,ak,ak021cvep8le,2021-12-06T19:09:39.747Z,"53 km NW of Tatitlek, Alaska",ice quake,,0.0,,,reviewed,ak,ak,4
118,2021-10-03T23:25:29.000Z,61.1434,-147.3194,0.0,1.0,ml,,,,0.26,ak,ak021cou66w3,2021-12-06T19:14:05.305Z,"46 km NW of Tatitlek, Alaska",ice quake,,0.0,,,reviewed,ak,ak,3
150,2021-08-07T07:20:16.666Z,61.1471,-146.1828,0.0,1.1,ml,,,,0.74,ak,ak021a2azd21,2021-08-25T21:21:34.731Z,Southern Alaska,ice quake,,0.0,,,reviewed,ak,ak,14
163,2021-07-24T20:10:38.389Z,61.23,-147.5791,0.0,1.0,ml,,,,0.7,ak,ak0219fd51fq,2021-10-21T20:41:53.337Z,"63 km NW of Tatitlek, Alaska",ice quake,,0.0,,,reviewed,ak,ak,3
260,2021-02-24T06:43:25.290Z,61.0398,-147.5714,0.0,1.3,ml,,,,1.0,ak,ak0212j2dz9x,2021-03-17T00:59:41.533Z,"52 km WNW of Tatitlek, Alaska",ice quake,,0.0,,,reviewed,ak,ak,3
271,2021-02-04T18:40:37.806Z,61.1444,-147.03,0.0,1.2,ml,,,,0.26,ak,ak0211m6rlqc,2021-02-15T20:38:52.998Z,"36 km NNW of Tatitlek, Alaska",ice quake,,0.0,,,reviewed,ak,ak,3
297,2020-12-23T10:47:17.811Z,61.159,-147.5998,0.0,1.4,ml,,,,0.35,ak,ak020gg8mp4q,2021-01-04T20:10:29.315Z,Southern Alaska,ice quake,,0.0,,,reviewed,ak,ak,4
309,2020-12-06T07:23:42.824Z,60.9929,-147.3776,0.0,1.2,ml,,,,0.47,ak,ak020fo2kf3p,2020-12-13T03:03:12.657Z,"40 km WNW of Tatitlek, Alaska",ice quake,,0.0,,,reviewed,ak,ak,3
378,2020-09-05T02:47:10.389Z,61.1675,-146.8936,0.0,1.1,ml,,,,0.22,ak,ak020bfuae2i,2020-09-18T04:21:49.927Z,"29 km W of Valdez, Alaska",ice quake,,0.0,,,reviewed,ak,ak,3
776,2018-09-21T16:20:41.442Z,61.1769,-147.5151,0.0,1.1,ml,,,,0.66,ak,ak018c4vixkg,2019-12-02T22:58:05.592Z,"57 km NW of Tatitlek, Alaska",ice quake,,0.0,,,reviewed,ak,ak,3
2222,2012-08-19T22:47:29.748Z,61.4598,-147.0103,0.0,1.6,ml,,,,0.41,ak,ak012ao226tq,2018-07-07T02:03:57.274Z,"51 km NW of Valdez, Alaska",ice quake,,0.0,,,reviewed,ak,ak,7
2420,2011-07-23T00:49:00.665Z,61.0807,-147.0985,0.0,0.0,ml,,,,0.57,ak,ak0119ddxavm,2018-07-06T23:43:58.238Z,"33 km NW of Tatitlek, Alaska",ice quake,,0.0,,,reviewed,ak,ak,5
