,Window_Length,RappMaxMean,RappMaxMedian,AsDec,KurtoSig,KurtoEnv,SkewSig,SkewEnv,CorPeakNumber,Energy1/3Cor,Energy2/3Cor,int_ratio,E_0.1_1,E_1_3,E_3_10,E_10_20,E_20_50,Kurt_0.1_1,Kurt_1_3,Kurt_3_10,Kurt_10_20,Kurt_20_50,RMSDecPhaseLine,MeanFFT,MaxFFT,FMaxFFT,MedianFFT,VarFFT,FCentroid,Fquart1,Fquart3,NPeakFFT,MeanPeaksFFT,E1FFT,E2FFT,E3FFT,E4FFT,Gamma1,Gamma2,Gamma,KurtoMaxDFT,KurtoMedianDFT,MaxOverMeanDFT,MaxOverMedianDFT,NbrPeaksMaxDFT,NbrPeaksMeanDFT,NbrPeaksMedianDFT,45/46,45/47,NbrPeaksCentralFreq,NbrPeaksMaxFreq,50/51,DistMaxMeanFreqDTF,DistMaxMedianFreqDTF,DistQ2Q1DFT,DistQ3Q2DFT,DistQ3Q1DFT,Peak_Envelope_Amplitude,Average_Envelope_Amplitude,Envelope_Area,Envelope_Velocity,Envelope_Rise_Time,serial_no,label
0,59.98,4.12362596361,4.77913921669,0.222584590298,1.06859134607,0.71991599606,0.0683695479192,0.979856076672,1214.0,-1.83496410523e-11,2.72429724817e-11,-0.673555026517,0.0,-5.27602643675,-5.72390201217,-6.28915263065,0.0,3.95252516673e-323,2.11156508728,1.62780948092,0.653880856992,4.94065645841e-323,1.86709962596e-07,2.3325836647e-06,5.3941436627e-05,1.71666666667,7.02001378072e-07,2.49037647404e-11,8.25850495265,2.15176027159,15.7868882357,2.0,3.07891784318e-06,3.7509924861e-05,4.76922880006e-06,2.85180910937e-06,1.30433779872e-05,6.20945158873,10.98755971,,-0.329812448273,0.531843393503,37.9257126044,4592.23498751,5.0,5.0,3.0,1.0,1.66666666667,2.0,5.0,0.4,1.67351511786e-14,1.7140339471e-14,2.06703245403,0.704902232663,2.77193468669,4.82913713428e-07,1.17109000111e-07,7.02269183417e-06,1.17083891867e-07,10.92,100,1.0
0,59.98,4.12362596361,4.77913921669,0.222584590298,1.06859134607,0.71991599606,0.0683695479192,0.979856076672,1214.0,-1.83496410523e-11,2.72429724817e-11,-0.673555026517,0.0,-5.27602643675,-5.72390201217,-6.28915263065,0.0,0.0,2.11156508728,1.62780948092,0.653880856992,0.0,1.86709962596e-07,2.3325836647e-06,5.3941436627e-05,1.71666666667,7.02001378072e-07,2.49037647404e-11,8.25850495265,2.15176027159,15.7868882357,2.0,3.07891784318e-06,3.7509924861e-05,4.76922880006e-06,2.85180910937e-06,1.30433779872e-05,6.20945158873,10.98755971,,-0.329812448273,0.531843393503,37.9257126044,4592.23498751,5.0,5.0,3.0,1.0,1.66666666667,2.0,5.0,0.4,1.67351511786e-14,1.7140339471e-14,2.06703245403,0.704902232663,2.77193468669,4.82913713428e-07,1.17109000111e-07,7.02269183417e-06,1.17083891867e-07,10.92,101,1.0
0,59.98,3.40170586511,3.78957534734,0.355173971984,0.443473342361,-0.160302094484,-0.0526474383651,0.649361858638,1454.0,1.2570601453e-12,2.90492109479e-13,4.32734695463,5.92878775009e-323,-5.66714013045,-5.69665702788,-6.28958174873,7.90505033346e-323,8.3991159793e-323,1.83985383747,4.44560855793,0.757358383111,1.03753785627e-322,1.12723830219e-07,1.8016510733e-06,3.41302482123e-05,24.8833333333,6.4238810522e-07,9.21779474948e-12,10.1698318576,3.09952065947,15.6769464181,2.0,2.46755779102e-06,2.57166053496e-05,4.00474870291e-06,2.63013678998e-06,1.2535293354e-05,12.9997283489,16.872363764,,2.25739290479,0.432479905536,32.1833833593,1313.83736649,3.0,3.0,2.0,1.0,1.5,2.0,3.0,0.666666666667,5.81617751125e-15,5.97627867481e-15,3.28162736875,8.58348574058,11.8651131093,2.66625861549e-07,7.83800458129e-08,4.70143728574e-06,7.83834159009e-08,15.72,102,1.0
0,59.98,4.67814390339,5.19408469359,0.0953250547845,1.85623991713,4.85772937925,0.0219998812066,1.68767950902,1423.0,-5.54349567369e-13,3.64140000625e-14,-15.2235284896,5.92878775009e-323,-5.77890843327,-5.77958334795,-6.38567541729,7.90505033346e-323,8.3991159793e-323,4.1546405801,14.6242481873,4.95610835387,1.03753785627e-322,1.2540951734e-07,1.50138669406e-06,2.58621692984e-05,24.9,5.02937658984e-07,7.89460290099e-12,10.2779884071,3.29891592097,15.3490355141,5.0,1.98999282033e-06,2.07151028935e-05,4.68563654631e-06,1.77595783637e-06,1.02480357282e-05,13.220771398,16.9433825723,,4.18982632106,2.55708237611,49.5946989288,3097.24715537,4.0,4.0,3.0,1.0,1.33333333333,3.0,4.0,0.75,6.32821973429e-15,6.46549702635e-15,13.2398256578,2.54940635612,15.7892320139,3.26720625417e-07,6.98397980403e-08,4.18872488737e-06,6.98353599095e-08,5.22,103,1.0
0,59.98,3.54787063638,3.91840200935,0.24646716542,0.521507867797,0.146411995178,0.0240443732033,0.760711463357,1462.0,1.13674513804e-12,-1.2537381799e-12,-0.906684630221,5.92878775009e-323,-5.86580427832,-6.2731213775,-6.79419490683,7.90505033346e-323,8.3991159793e-323,8.24195349141,6.30423066529,4.78845292054,1.03753785627e-322,9.97803182375e-08,9.73578979696e-07,3.24427474037e-05,24.55,2.10545077247e-07,7.71979141276e-12,12.8468567528,2.2525773059,15.2908452743,4.0,1.26603766882e-06,1.11299429349e-05,1.70144457155e-06,9.16328018456e-07,1.0373656983e-05,18.5814718582,21.1658244234,,0.658695438891,-0.398232393449,47.3395103868,9451.63405277,4.0,4.0,3.0,1.0,1.33333333333,3.0,4.0,0.75,5.11295121195e-15,5.22393123004e-15,5.43061920848,4.09152177583,9.52214098431,2.31705079055e-07,6.5308209572e-08,3.91688381784e-06,6.53031646856e-08,11.86,104,1.0
0,59.98,3.54787063638,3.91840200935,0.24646716542,0.521507867797,0.146411995178,0.0240443732033,0.760711463357,1462.0,1.13674513804e-12,-1.2537381799e-12,-0.906684630221,5.92878775009e-323,-5.86580427832,-6.2731213775,-6.79419490683,7.90505033346e-323,8.3991159793e-323,8.24195349141,6.30423066529,4.78845292054,1.03753785627e-322,9.97803182375e-08,9.73578979696e-07,3.24427474037e-05,24.55,2.10545077247e-07,7.71979141276e-12,12.8468567528,2.2525773059,15.2908452743,4.0,1.26603766882e-06,1.11299429349e-05,1.70144457155e-06,9.16328018456e-07,1.0373656983e-05,18.5814718582,21.1658244234,,0.658695438891,-0.398232393449,47.3395103868,9451.63405277,4.0,4.0,3.0,1.0,1.33333333333,3.0,4.0,0.75,5.11295121195e-15,5.22393123004e-15,5.43061920848,4.09152177583,9.52214098431,2.31705079055e-07,6.5308209572e-08,3.91688381784e-06,6.53031646856e-08,11.86,105,1.0
0,59.98,2.7705200366,2.9025028289,4.5332103321,-0.164128208487,-0.463937272636,0.0341164710451,0.432031200442,1477.0,-5.89604726732e-13,-2.59280100637e-13,2.274006857,5.92878775009e-323,-5.87845219032,-6.27120260141,-6.80434417177,7.90505033346e-323,8.3991159793e-323,2.73908967151,8.60914883144,2.76881963165,1.03753785627e-322,4.76934526115e-07,9.47545386715e-07,3.22368214899e-05,24.75,2.11131150524e-07,6.98174182851e-12,13.5929019522,2.40494998688,15.4279624963,2.0,1.31076273446e-06,1.02691805519e-05,1.36236991175e-06,9.57098799045e-07,1.10550378833e-05,19.8084152661,21.9065451835,,1.11413668172,3.68539539573,53.1764302541,13688.1938599,3.0,3.0,2.0,1.0,1.5,2.0,3.0,0.666666666667,6.00359470559e-15,6.11013090657e-15,-5.79771479554,11.8995908093,6.10187601375,1.76501279287e-07,6.37069131263e-08,3.82216114174e-06,6.37239270046e-08,49.14,106,1.0
0,59.98,3.14497200711,3.32356267176,1.16378066378,0.253015448381,-0.268090888625,-0.0337382115273,0.529384529435,1458.0,1.28200054213e-12,-2.10287548571e-12,-0.609641679139,5.92878775009e-323,-5.56557357922,-6.00840354885,-6.65989609157,7.90505033346e-323,8.3991159793e-323,1.48711517131,4.44426585081,5.75803195838,1.03753785627e-322,1.88795433078e-07,1.31700977529e-06,3.18053509406e-05,24.9666666667,2.83953920733e-07,9.97005549102e-12,10.5929067558,2.43291931894,15.2953354216,3.0,1.93177574404e-06,1.84162163562e-05,2.44150991293e-06,1.1724972926e-06,1.07556857102e-05,14.0635487028,18.1035776162,,-0.188779905802,3.17253944769,46.535701941,11748.3368958,3.0,4.0,1.0,0.75,3.0,3.0,3.0,1.0,7.51685442712e-15,7.67377300016e-15,8.00675675605,-1.21251250812,6.79424424793,2.38273148151e-07,7.57632015841e-08,4.54446285482e-06,7.57663030147e-08,32.26,107,1.0
0,59.98,3.61833066405,4.24779134608,0.204417670683,1.03662038897,1.17751187482,-0.0161153878144,1.10289065803,1407.0,-7.14925316965e-12,3.7685354885e-12,-1.89709057841,5.92878775009e-323,-5.58787646806,-6.02221309089,-6.78132994551,7.90505033346e-323,8.3991159793e-323,5.17738315128,4.8038915617,1.49191667998,1.03753785627e-322,1.04325701355e-07,1.21706536081e-06,3.82807004515e-05,24.5333333333,2.00996380242e-07,1.12537546619e-11,10.4243476397,2.39548393529,15.44253491,2.0,1.53370429266e-06,1.78340550775e-05,1.57993600559e-06,8.65575257182e-07,1.00260382941e-05,12.1979887732,16.6327315135,,-0.104795200504,1.71391606589,53.6157566847,24947.2669011,4.0,3.0,2.0,1.33333333333,2.0,3.0,4.0,0.75,9.13079299069e-15,9.30479199343e-15,11.2663537669,4.68545620954,15.9518099764,2.79367381118e-07,7.72089140151e-08,4.63083037355e-06,7.72062416397e-08,10.18,108,1.0
0,59.98,3.72012334638,4.11678987796,2.33222222222,1.48140854218,1.88174673236,0.017957280867,1.18836690755,1471.0,-1.01173235191e-13,-4.68529304611e-13,0.215937902273,0.0,-5.89649939771,-6.2303981742,-6.59990682581,0.0,0.0,3.64917183316,3.88886939197,9.54773693162,0.0,3.03451637808e-07,9.9372543441e-07,3.22501543314e-05,24.5333333333,3.63182614042e-07,6.26338237981e-12,13.5215033607,2.50046090974,15.4750031109,1.0,1.31489735915e-06,9.96476120457e-06,2.23218807475e-06,1.59426040905e-06,1.08787292336e-05,20.3136135225,22.1712512665,,0.984229355856,6.4581367464,48.7292957548,4195.80728818,5.0,5.0,3.0,1.0,1.66666666667,3.0,5.0,0.6,5.1007798857e-15,5.20297805015e-15,4.80146106535,4.75070783348,9.55216889883,2.1981692615e-07,5.90886123073e-08,3.54496802234e-06,5.91025012061e-08,41.98,109,1.0
