,Window_Length,RappMaxMean,RappMaxMedian,AsDec,KurtoSig,KurtoEnv,SkewSig,SkewEnv,CorPeakNumber,Energy1/3Cor,Energy2/3Cor,int_ratio,E_0.1_1,E_1_3,E_3_10,E_10_20,E_20_50,Kurt_0.1_1,Kurt_1_3,Kurt_3_10,Kurt_10_20,Kurt_20_50,RMSDecPhaseLine,MeanFFT,MaxFFT,FMaxFFT,MedianFFT,VarFFT,FCentroid,Fquart1,Fquart3,NPeakFFT,MeanPeaksFFT,E1FFT,E2FFT,E3FFT,E4FFT,Gamma1,Gamma2,Gamma,KurtoMaxDFT,KurtoMedianDFT,MaxOverMeanDFT,MaxOverMedianDFT,NbrPeaksMaxDFT,NbrPeaksMeanDFT,NbrPeaksMedianDFT,45/46,45/47,NbrPeaksCentralFreq,NbrPeaksMaxFreq,50/51,DistMaxMeanFreqDTF,DistMaxMedianFreqDTF,DistQ2Q1DFT,DistQ3Q2DFT,DistQ3Q1DFT,Peak_Envelope_Amplitude,Average_Envelope_Amplitude,Envelope_Area,Envelope_Velocity,Envelope_Rise_Time,serial_no,label
0,59.98,4.18061220391,4.63012883399,1.9751984127,0.481364547961,1.19187959494,-0.0120147029077,0.913921824105,1459.0,-2.46429598509e-12,2.74187257147e-13,-8.98763863327,0.0,-5.71273741837,-5.79130769648,-6.00715109006,0.0,3.95252516673e-323,5.23398215135,11.0092619301,9.2426612046,4.94065645841e-323,5.95006834394e-07,2.63338057815e-06,5.85495888816e-05,24.3333333333,1.24571258422e-06,2.32700906721e-11,13.4308250703,2.96196614349,14.7193271734,2.0,4.03735433916e-06,2.07280876721e-05,1.43889428217e-05,5.16142772991e-06,2.52097913984e-05,20.2286061112,21.8592726826,,-1.08130949848,-1.06793349052,43.6597920243,10693.9506595,4.0,3.0,3.0,1.33333333333,1.33333333333,4.0,4.0,1.0,1.56561118313e-14,1.60526087442e-14,0.465013626375,-3.21755197546,-2.75253834908,5.13910147521e-07,1.22927007446e-07,7.37513697143e-06,1.22959936169e-07,39.82,0,1.0
0,59.98,3.40719321029,3.79561662686,0.574278215223,0.503756183787,0.0858083016427,0.0802413906429,0.735543240711,1474.0,1.34960351766e-12,2.69713357849e-12,0.500384381562,0.0,-5.64030161249,-5.92796507295,-6.09696778434,0.0,0.0,2.63727238788,1.35802649423,1.67815326172,0.0,1.98920156526e-07,2.22100773469e-06,5.46023635577e-05,24.7833333333,1.05716402736e-06,1.9263207715e-11,13.8260456187,2.2181219756,15.7777705004,2.0,3.15354069763e-06,1.87305515948e-05,7.40028589346e-06,5.19234982708e-06,2.40926672355e-05,19.0458216006,21.3319954199,,2.67345191721,-0.99442058348,38.1869290031,1294.22350685,4.0,4.0,2.0,1.0,2.0,4.0,4.0,1.0,1.26234465342e-14,1.29284124668e-14,-0.547101161038,6.27962170318,5.73252054215,3.66670483271e-07,1.07616580757e-07,6.45176892094e-06,1.07565337128e-07,21.88,100,1.0
0,59.98,3.40719321029,3.79561662686,0.574278215223,0.503756183787,0.0858083016427,0.0802413906429,0.735543240711,1474.0,1.34960351766e-12,2.69713357849e-12,0.500384381562,5.92878775009e-323,-5.64030161249,-5.92796507295,-6.09696778434,7.90505033346e-323,8.3991159793e-323,2.63727238788,1.35802649423,1.67815326172,1.03753785627e-322,1.98920156526e-07,2.22100773469e-06,5.46023635577e-05,24.7833333333,1.05716402736e-06,1.9263207715e-11,13.8260456187,2.2181219756,15.7777705004,2.0,3.15354069763e-06,1.87305515948e-05,7.40028589346e-06,5.19234982708e-06,2.40926672355e-05,19.0458216006,21.3319954199,,2.67345191721,-0.99442058348,38.1869290031,1294.22350685,4.0,4.0,2.0,1.0,2.0,4.0,4.0,1.0,1.26234465342e-14,1.29284124668e-14,-0.547101161038,6.27962170318,5.73252054215,3.66670483271e-07,1.07616580757e-07,6.45176892094e-06,1.07565337128e-07,21.88,101,1.0
0,59.98,3.2372904543,3.40843876009,0.482451804251,0.412708602936,0.397159580728,-0.00880198143447,0.720258205385,1466.0,-9.82256307266e-15,4.98446537037e-13,-0.0197063523223,5.92878775009e-323,-5.6984708622,-5.84027698841,-6.14747215783,7.90505033346e-323,8.3991159793e-323,4.36818123337,5.31551934212,0.527153358346,1.03753785627e-322,2.03246973025e-07,2.15547573745e-06,6.32611227534e-05,24.9666666667,8.58119210871e-07,2.71504344204e-11,14.9296546209,2.7574446692,15.6913808745,3.0,2.98412314917e-06,1.80793346288e-05,4.4896812404e-06,4.71370593778e-06,2.63125107103e-05,21.1259937058,22.5667045814,,-0.612313700928,1.32975034119,42.803714063,2216.91726835,5.0,5.0,4.0,1.0,1.25,3.0,5.0,0.6,1.69051904159e-14,1.73327016208e-14,5.80543944053,3.84753051133,9.65296995186,4.12434313848e-07,1.27401084231e-07,7.64280306008e-06,1.27422525176e-07,19.52,102,1.0
0,59.98,4.81523511226,5.41093871928,0.604601391118,1.55101670259,5.61932577812,0.00594214705633,1.78577813163,1469.0,3.63048500965e-14,-1.73970694001e-13,-0.208683711386,5.92878775009e-323,-5.83987544686,-5.97990304915,-6.47044428969,7.90505033346e-323,8.3991159793e-323,6.75575537934,7.37283024786,0.579535466444,1.03753785627e-322,2.34882290886e-07,1.70415920282e-06,4.32339844452e-05,24.5,4.8694467386e-07,2.02498660314e-11,15.9601311496,2.91448976391,15.6629143713,7.0,2.42415631104e-06,1.329812119e-05,3.40998128914e-06,1.77956141701e-06,2.39792238019e-05,21.8988584919,23.0242460058,,-0.970043975948,-0.0664553098283,46.1818341644,7635.23268281,4.0,4.0,5.0,1.0,0.8,3.0,4.0,0.75,1.42382018606e-14,1.45536648525e-14,10.2193049081,1.65827610392,11.877581012,4.92892596265e-07,1.02361065405e-07,6.13759244888e-06,1.02327316587e-07,22.6,103,1.0
0,59.98,3.8913717451,4.14910446777,0.422000948317,0.0690642408947,-0.242836603202,0.0329260657707,0.535059995097,1472.0,-7.60087382497e-13,3.86287080105e-13,-1.96767487613,5.92878775009e-323,-6.03584252041,-6.26349537202,-6.50378879382,7.90505033346e-323,8.3991159793e-323,5.69310639816,104.756864893,207.304217424,1.03753785627e-322,1.98935163506e-07,1.68090068165e-06,6.11320274303e-05,24.85,7.04572643195e-07,1.98464128128e-11,17.0328853135,2.66323007909,15.8065599091,2.0,2.29765913914e-06,7.59613233173e-06,7.32510094299e-06,2.66184510953e-06,2.42033079393e-05,23.3018658995,23.8135504059,,-0.923426377771,7.757657291,45.6179228349,13572.275603,3.0,2.0,3.0,1.5,1.0,3.0,3.0,1.0,1.35517503277e-14,1.38445898613e-14,-0.788793236628,3.25889729012,2.47010405349,4.165758247e-07,1.07051151107e-07,6.41858796156e-06,1.07012136738e-07,17.8,104,1.0
0,59.98,3.8913717451,4.14910446777,0.422000948317,0.0690642408947,-0.242836603202,0.0329260657707,0.535059995097,1472.0,-7.60087382497e-13,3.86287080105e-13,-1.96767487613,5.92878775009e-323,-6.03584252041,-6.26349537202,-6.50378879382,7.90505033346e-323,8.3991159793e-323,5.69310639816,104.756864893,207.304217424,1.03753785627e-322,1.98935163506e-07,1.68090068165e-06,6.11320274303e-05,24.85,7.04572643195e-07,1.98464128128e-11,17.0328853135,2.66323007909,15.8065599091,2.0,2.29765913914e-06,7.59613233173e-06,7.32510094299e-06,2.66184510953e-06,2.42033079393e-05,23.3018658995,23.8135504059,,-0.923426377771,7.757657291,45.6179228349,13572.275603,3.0,2.0,3.0,1.5,1.0,3.0,3.0,1.0,1.35517503277e-14,1.38445898613e-14,-0.788793236628,3.25889729012,2.47010405349,4.165758247e-07,1.07051151107e-07,6.41858796156e-06,1.07012136738e-07,17.8,105,1.0
0,59.98,2.76265884463,3.07980024418,0.580917237744,0.759547750431,-0.29612480118,-0.00225940823824,0.64657279927,1467.0,-1.07015197306e-15,-3.40103802361e-13,0.00314654515953,5.92878775009e-323,-6.06696235621,-6.35750123654,-6.63456049079,7.90505033346e-323,8.3991159793e-323,5.87788739728,2.1345278552,1.77667623607,1.03753785627e-322,1.72415992288e-07,1.49705695378e-06,4.7439185821e-05,24.55,3.48592919058e-07,2.53555415933e-11,18.8959748937,2.38444317536,15.5644831544,10.0,2.16692667056e-06,6.88398212892e-06,2.45930763616e-06,1.42470374003e-06,2.65074308877e-05,23.8716626628,24.1583459771,,1.96807448415,-0.645426881138,53.4921013174,19895.9321784,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.98143403235e-14,2.01823754944e-14,-0.671522296101,0.994651110921,0.32312881482,3.20232854312e-07,1.15914730092e-07,6.9498750146e-06,1.15869873535e-07,22.04,106,1.0
0,59.98,3.10314201795,3.3362379615,0.884978001257,0.266441389457,-0.161341788883,0.032409748648,0.621151250463,1467.0,1.31116389099e-12,-1.08914813653e-12,-1.20384348742,5.92878775009e-323,-5.79176806526,-6.13306094855,-6.54062380475,7.90505033346e-323,8.3991159793e-323,1.61217407596,8.9627912405,8.07822739001,1.03753785627e-322,2.40800046148e-07,1.74083974167e-06,4.82767604222e-05,24.4333333333,5.00587815334e-07,2.33395810498e-11,16.4776625824,2.61955621257,15.6279235868,7.0,2.54502235846e-06,1.20503356089e-05,3.97512305455e-06,1.84331912121e-06,2.5420457541e-05,22.7470317641,23.545161564,,-0.495346222434,0.906724387557,47.4589325098,19682.6042782,4.0,4.0,3.0,1.0,1.33333333333,4.0,4.0,1.0,1.92193430095e-14,1.95709238626e-14,7.55820828287,-1.53395923693,6.02424904594,3.52559898978e-07,1.13613845882e-07,6.81161439802e-06,1.13564761554e-07,28.16,107,1.0
0,59.98,2.9472307162,3.18019664182,0.467221135029,0.372972556355,-0.124892780133,-0.0465650217348,0.617608363215,1477.0,-8.27889561911e-14,1.51693997293e-13,-0.545762902081,0.0,-5.93186535577,-6.23831596909,-6.56543538932,0.0,0.0,4.56869455475,9.78090778101,144.899306961,0.0,1.9027376939e-07,1.75872707538e-06,5.11127940631e-05,24.8666666667,6.24461413171e-07,2.55777571284e-11,17.3496893917,2.45413191933,14.7794105608,8.0,2.49277130561e-06,9.27768162183e-06,3.91629647709e-06,4.74689501586e-06,2.59121887918e-05,23.4733036436,23.9676591665,,-0.21742531461,7.8900336734,49.4911478535,37051.4002065,3.0,5.0,3.0,0.6,1.0,3.0,3.0,1.0,2.01620037795e-14,2.05395871699e-14,6.2277949861,2.16188374163,8.38967872772,3.49877109168e-07,1.1871385136e-07,7.11866946005e-06,1.18684052352e-07,19.1,108,1.0
