,Window_Length,RappMaxMean,RappMaxMedian,AsDec,KurtoSig,KurtoEnv,SkewSig,SkewEnv,CorPeakNumber,Energy1/3Cor,Energy2/3Cor,int_ratio,E_0.1_1,E_1_3,E_3_10,E_10_20,E_20_50,Kurt_0.1_1,Kurt_1_3,Kurt_3_10,Kurt_10_20,Kurt_20_50,RMSDecPhaseLine,MeanFFT,MaxFFT,FMaxFFT,MedianFFT,VarFFT,FCentroid,Fquart1,Fquart3,NPeakFFT,MeanPeaksFFT,E1FFT,E2FFT,E3FFT,E4FFT,Gamma1,Gamma2,Gamma,KurtoMaxDFT,KurtoMedianDFT,MaxOverMeanDFT,MaxOverMedianDFT,NbrPeaksMaxDFT,NbrPeaksMeanDFT,NbrPeaksMedianDFT,45/46,45/47,NbrPeaksCentralFreq,NbrPeaksMaxFreq,50/51,DistMaxMeanFreqDTF,DistMaxMedianFreqDTF,DistQ2Q1DFT,DistQ3Q2DFT,DistQ3Q1DFT,Peak_Envelope_Amplitude,Average_Envelope_Amplitude,Envelope_Area,Envelope_Velocity,Envelope_Rise_Time,serial_no,label
0,59.98,4.47102867223,5.07481201404,0.657822001106,1.62162540145,3.08856127425,0.0762519543703,1.42239250976,1368.0,1.11231141315e-11,-1.81684762564e-11,-0.612220528267,0.0,-5.30299304814,-5.77053892464,-6.19450226795,0.0,3.95252516673e-323,3.96939223542,3.89894984129,4.71718001915,4.94065645841e-323,3.07610610518e-07,2.50418180153e-06,6.86507827976e-05,1.68333333333,7.69291284427e-07,3.42435005609e-11,10.906063609,2.24599591013,15.267918932,1.0,3.07110697171e-06,3.2644190228e-05,5.22625234909e-06,4.18334007974e-06,2.02795644409e-05,12.2149844441,16.6956334363,,-1.28582717916,2.99569149846,42.1858268531,3809.09461732,5.0,5.0,2.0,1.0,2.5,2.0,5.0,0.4,2.25804473327e-14,2.31224209375e-14,0.524404858353,9.88450306189,10.4089079202,6.26492680584e-07,1.40122715937e-07,8.40680399412e-06,1.40160119942e-07,23.8,233,1.0
0,59.98,3.855492095,4.15380083508,0.880250783699,0.228915123869,0.256388451678,0.0292169136151,0.690785190007,1469.0,3.09966871824e-12,4.08918731562e-12,0.758015830283,0.0,-5.52648586211,-5.87033699259,-6.08972498849,0.0,0.0,1.3516664556,4.05272004856,5.52401027662,0.0,2.49716692271e-07,2.24742651757e-06,4.53719973275e-05,24.6666666667,1.12577749709e-06,1.66824522058e-11,12.0930841435,2.36379422369,15.6523899782,4.0,3.0748752192e-06,2.42585848307e-05,6.07637195229e-06,5.83723732579e-06,1.97264393167e-05,16.0348516463,19.4086268994,,1.31322412805,1.83605843769,36.0310613771,1300.31810992,5.0,4.0,2.0,1.25,2.5,3.0,5.0,0.6,1.03953563458e-14,1.06644209368e-14,9.49107090771,-1.14789685834,8.34317404937,3.97772573971e-07,1.03170377262e-07,6.18772529808e-06,1.03163142682e-07,28.08,234,1.0
0,59.98,3.23286960338,3.66326107022,0.434928229665,0.483430666688,0.175636238544,-0.0605001574538,0.785741857697,1448.0,2.36931538659e-12,1.06063579005e-12,2.23386331936,5.92878775009e-323,-5.46436039748,-5.92916301038,-6.25306586686,7.90505033346e-323,8.3991159793e-323,4.43867027415,2.32832615419,2.82456302719,1.03753785627e-322,1.71644678339e-07,1.93115779524e-06,5.5654002945e-05,24.5333333333,6.62357521324e-07,2.25646265952e-11,11.8331032586,2.21019601505,15.1592114647,2.0,2.69930468146e-06,2.20358592513e-05,5.57364452684e-06,3.22544059232e-06,1.73458024873e-05,15.4480797709,19.0567248569,,-0.562637060432,-0.732587926202,50.4324517839,3748.08397304,4.0,3.0,4.0,1.33333333333,1.0,2.0,4.0,0.5,1.69692405287e-14,1.73159497573e-14,-10.9780569708,9.89072519826,-1.08733177257,3.66265835104e-07,1.13294342191e-07,6.79597230209e-06,1.13303973026e-07,18.18,235,1.0
0,59.98,3.76445199269,4.14173856146,0.492039800995,0.757595968665,0.534055097214,0.070148917981,0.857530339646,1316.0,-7.6075035506e-12,9.26758668212e-12,-0.820872122543,5.92878775009e-323,-5.20952517699,-5.68549344404,-6.10165852736,7.90505033346e-323,8.3991159793e-323,2.53837223693,3.84130999029,20.1537315679,1.03753785627e-322,2.75322017146e-07,2.95184243682e-06,7.26292626801e-05,1.13333333333,1.09795107758e-06,4.12466734775e-11,9.79325987943,2.2216577565,15.0917552885,1.0,3.9955095459e-06,3.93588159134e-05,9.58365242015e-06,5.52061329683e-06,1.90660966033e-05,9.38214526122,14.3005828036,,0.120917179228,7.20278707259,42.2572192442,3545.47455359,3.0,3.0,3.0,1.0,1.0,1.0,3.0,0.333333333333,2.79936582115e-14,2.86638263351e-14,-9.08273804219,7.06699637575,-2.01574166644,5.63367838247e-07,1.49654674662e-07,8.97675913005e-06,1.49662539681e-07,19.78,236,1.0
0,59.98,2.84320934808,2.99104666829,0.504012036108,-0.318268686942,-0.287842095645,-0.0256904753821,0.424324919748,1467.0,9.13152150176e-14,2.43318702545e-12,0.0375290571841,5.92878775009e-323,-5.58973258526,-6.14507968242,-6.48058866405,7.90505033346e-323,8.3991159793e-323,3.95130688942,2.44824793751,5.26888570219,1.03753785627e-322,1.65704663916e-07,1.51833146323e-06,5.84097192201e-05,24.9833333333,4.08616802716e-07,2.18792010669e-11,14.0880587606,2.06028670636,15.0644244904,1.0,1.91835969747e-06,1.46819123973e-05,2.77920674831e-06,2.21217308139e-06,1.77731686742e-05,19.3690502846,21.6686572268,,1.49154527501,-0.962250673169,55.8234243408,11725.9263836,4.0,4.0,3.0,1.0,1.33333333333,2.0,4.0,0.5,1.98940912905e-14,2.02221690407e-14,14.9390859488,1.57156970638,16.5106556552,3.24686535909e-07,1.14197196252e-07,6.84799642005e-06,1.14171330778e-07,20.1,237,1.0
0,59.98,7.41845770986,9.13141851475,1.12695035461,5.17827525683,9.06172693779,-0.143351576382,2.38621594269,1443.0,-3.95643125618e-12,1.32218736221e-12,-2.99233782539,5.92878775009e-323,-5.35603092726,-5.4148348586,-5.63754056002,7.90505033346e-323,8.3991159793e-323,7.13955757091,17.4107121398,8.30444892868,1.03753785627e-322,8.20937268238e-07,5.47107439304e-06,6.38295444388e-05,24.7666666667,3.56951847226e-06,3.87904024869e-11,11.1838705132,3.30791283407,15.8506426219,4.0,7.38347761979e-06,5.66593993048e-05,2.70232645489e-05,1.75071369476e-05,3.5366637041e-05,12.8132674712,16.3248290876,,-0.573176681869,4.56902689257,42.4707935845,2086.21474845,4.0,3.0,3.0,1.33333333333,1.33333333333,3.0,4.0,0.75,2.87616695387e-14,2.95519081037e-14,-6.92329611513,0.441988928323,-6.48130718681,1.23769822663e-06,1.66840369661e-07,1.00094932409e-05,1.66880514186e-07,31.78,238,1.0
0,59.98,3.61904113716,4.01600559323,0.360090702948,0.610741488319,0.41075260218,-0.0161397345996,0.815660639235,1477.0,5.41031494383e-12,-1.71959724399e-12,-3.14626867584,5.92878775009e-323,-5.43211021273,-5.7361826629,-5.81116214736,7.90505033346e-323,8.3991159793e-323,3.31545380284,3.25191213023,1.78238571809,1.03753785627e-322,2.26660808999e-07,3.37659274409e-06,6.61876836205e-05,24.8,1.88395927743e-06,3.12494493817e-11,12.6479178799,2.3211276603,16.0325808867,1.0,4.79643381891e-06,3.30124195396e-05,9.02007853628e-06,1.07219518643e-05,3.14344557007e-05,14.682636016,18.4533506802,,-0.974155631015,-0.978969781565,42.3115450491,1078.58616547,3.0,3.0,3.0,1.0,1.0,2.0,3.0,0.666666666667,2.4338696182e-14,2.48847432585e-14,6.37104497893,6.85339195305,13.224436932,5.22601149056e-07,1.44403207714e-07,8.66375289749e-06,1.44444029635e-07,15.88,239,1.0
0,59.98,5.18201077013,5.66048587663,0.450895016933,0.597316321692,1.80429715505,-0.0473652800071,1.06997247342,1451.0,3.06965515539e-12,-9.49036494675e-13,-3.2344964315,5.92878775009e-323,-5.50638970856,-5.6127305012,-5.85060969025,7.90505033346e-323,8.3991159793e-323,3.50207337629,7.61762860104,12.7146779995,1.03753785627e-322,2.7176384441e-07,3.17402569795e-06,5.61484246897e-05,24.8166666667,1.95575015103e-06,1.80465826593e-11,10.7964539328,2.83390527451,14.9441362109,2.0,4.3298767501e-06,3.06825510751e-05,2.11106591841e-05,9.37015248553e-06,1.79169950726e-05,12.9211216648,16.5901419624,,0.0756961556221,-0.741639117288,40.8207920923,1855.36086923,4.0,4.0,3.0,1.0,1.33333333333,3.0,4.0,0.75,1.53899863081e-14,1.57303744424e-14,-1.59295099175,2.99868785449,1.40573686274,6.02173993693e-07,1.16204697444e-07,6.97094107722e-06,1.16221091651e-07,18.64,240,1.0
0,59.98,3.30751814571,3.62093853566,0.265934993668,0.221443289938,0.125779290055,-0.0109330185876,0.729137560559,1477.0,-2.05449902636e-12,2.00408924319e-12,-1.02515346227,5.92878775009e-323,-5.65087002801,-6.03584723377,-6.23654125745,7.90505033346e-323,8.3991159793e-323,5.96484135433,2.6421723986,2.95770154703,1.03753785627e-322,1.32224579619e-07,1.71746666858e-06,4.7648684704e-05,24.5666666667,7.00696908313e-07,1.78437435988e-11,14.0763272531,2.33544612014,15.5099385712,3.0,2.26568864301e-06,1.49612516589e-05,4.84749366044e-06,3.91148787694e-06,1.88990278926e-05,19.4898170947,21.6845822435,,-0.690289103047,-0.194885646648,53.397241202,2866.06319947,4.0,3.0,3.0,1.33333333333,1.33333333333,3.0,4.0,0.75,1.45173606216e-14,1.47920925497e-14,0.485836140955,4.25373310335,4.7395692443,3.36128770349e-07,1.0162567688e-07,6.09645651353e-06,1.01641489055e-07,12.6,241,1.0
0,59.98,5.21358477422,6.46332855485,2.35834266517,3.20450188703,3.90073129272,0.000441370147151,1.74790528716,1356.0,-2.51068026184e-12,6.13699136017e-12,-0.40910604472,0.0,-5.22993586339,-5.47355536475,-5.9502392474,0.0,0.0,6.63472911616,8.91359059355,4.69488045621,0.0,1.12169442715e-06,3.74197945998e-06,6.44527095396e-05,2.81666666667,1.57307453397e-06,4.83993917505e-11,9.87268742919,2.68265145253,15.4861384681,3.0,4.94326226041e-06,5.01925742157e-05,1.18982553794e-05,7.83368582254e-06,2.33668730044e-05,9.60677007333,14.0147044065,,7.50243838544,0.313533388728,38.8785066932,2483.1240338,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.33333333333,3.63305710305e-14,3.71491728785e-14,-5.33382286101,-3.4187840946,-8.75260695562,8.3366588541e-07,1.59902623917e-07,9.58949084375e-06,1.59878140109e-07,42.12,242,1.0
