,Window_Length,RappMaxMean,RappMaxMedian,AsDec,KurtoSig,KurtoEnv,SkewSig,SkewEnv,CorPeakNumber,Energy1/3Cor,Energy2/3Cor,int_ratio,E_0.1_1,E_1_3,E_3_10,E_10_20,E_20_50,Kurt_0.1_1,Kurt_1_3,Kurt_3_10,Kurt_10_20,Kurt_20_50,RMSDecPhaseLine,MeanFFT,MaxFFT,FMaxFFT,MedianFFT,VarFFT,FCentroid,Fquart1,Fquart3,NPeakFFT,MeanPeaksFFT,E1FFT,E2FFT,E3FFT,E4FFT,Gamma1,Gamma2,Gamma,KurtoMaxDFT,KurtoMedianDFT,MaxOverMeanDFT,MaxOverMedianDFT,NbrPeaksMaxDFT,NbrPeaksMeanDFT,NbrPeaksMedianDFT,45/46,45/47,NbrPeaksCentralFreq,NbrPeaksMaxFreq,50/51,DistMaxMeanFreqDTF,DistMaxMedianFreqDTF,DistQ2Q1DFT,DistQ3Q2DFT,DistQ3Q1DFT,Peak_Envelope_Amplitude,Average_Envelope_Amplitude,Envelope_Area,Envelope_Velocity,Envelope_Rise_Time,serial_no,label
0,59.98,3.85771434307,4.01937045,0.0,-0.0885555512793,1.04188950644,-0.0191168712725,0.765075941073,1484.0,-1.67446954444e-12,-3.80614753805e-13,4.39938159965,0.0,-5.85185025321,-6.29900193905,-6.51361029434,0.0,3.95252516673e-323,1.47362522856,5.10018454511,2.25859104902,4.94065645841e-323,1.10085439438e-07,1.12873540601e-06,2.98246657316e-05,24.9,4.09556991957e-07,8.537530726e-12,13.8985928901,1.94809432541,15.1196382784,5.0,1.50169146663e-06,1.01603668675e-05,3.33975329786e-06,1.59220618762e-06,1.28640719389e-05,20.022857993,22.0748099455,,-1.29769564163,1.47832086296,45.4007247535,3927.24846249,3.0,3.0,4.0,1.0,0.75,4.0,3.0,1.33333333333,5.49168360816e-15,5.60896957798e-15,-1.15755637345,-2.6347028973,-3.79225927075,2.77921387758e-07,7.20430190114e-08,4.31719847633e-06,7.19773003724e-08,0.0,0,1.0
0,59.98,2.61447550856,2.71242508621,0.166018662519,-0.118945550611,-0.336768814873,0.00225256826681,0.390879223842,1468.0,-5.12123360706e-15,3.36525681252e-14,-0.152179577737,0.0,-6.36089227223,-6.69544838205,-6.62480274316,0.0,0.0,1.19535302081,0.164440505571,1.84677321906,0.0,1.09437593045e-07,9.07459706037e-07,6.68862594888e-05,24.4833333333,1.62086693047e-07,1.76070479525e-11,20.7180951333,2.2694994351,15.47056874,1.0,1.44537301233e-06,2.74164379358e-06,1.03769911316e-06,7.81530604249e-07,1.7924469491e-05,24.4489107387,24.5333989196,,-0.0863222246867,0.856065177421,60.6204462698,36136.522988,4.0,4.0,4.0,1.0,1.0,5.0,4.0,1.25,1.45057044056e-14,1.47512836826e-14,0.15109871465,-0.0763142887945,0.0747844258555,2.59533694592e-07,9.92679769777e-08,5.95418793044e-06,9.92695553591e-08,8.54,1000,1.0
0,59.98,3.56710028242,4.05692150298,1.73881278539,0.645441755887,1.32160274081,0.0126020499782,1.07037254591,1480.0,-5.34569637382e-13,1.23844103995e-12,-0.431647224324,5.92878775009e-323,-5.96384411015,-6.35749992444,-6.52371133136,7.90505033346e-323,8.3991159793e-323,1.77246548973,0.210220553974,1.68361739283,1.03753785627e-322,3.11905096768e-07,1.05893933261e-06,5.45657507619e-05,24.9833333333,3.52222120292e-07,1.28084433663e-11,16.7770211832,2.32797142844,15.1936224234,0.0,1.44101774647e-06,6.56976657286e-06,2.660854877e-06,1.76651007492e-06,1.50048714283e-05,23.3291537834,23.9564801867,,3.53498140279,-0.517803163851,52.9810421833,8120.74464798,4.0,4.0,4.0,1.0,1.0,2.0,4.0,0.5,1.07629028806e-14,1.09558449494e-14,-3.17487014905,3.49676099481,0.32189084576,2.97785945657e-07,8.34812374423e-08,5.00778809796e-06,8.34909652878e-08,38.08,1001,1.0
0,59.98,3.72618191757,3.90769031355,0.705915813424,-0.0206663178711,0.0375114891209,0.000922532864972,0.560080700024,1472.0,2.54078515746e-13,5.01624852437e-13,0.506511020161,5.92878775009e-323,-6.23413884787,-6.1312606022,-5.93447283367,7.90505033346e-323,8.3991159793e-323,0.336861397167,2.88121143878,9.4999941911,1.03753785627e-322,1.85208890477e-07,1.7190358753e-06,4.44383558246e-05,24.6333333333,1.002565e-06,1.43932865515e-11,17.1139414309,2.70513482415,15.7294775729,7.0,2.48418494627e-06,5.75929251268e-06,6.8003736242e-06,8.46873955573e-06,2.17482645281e-05,23.468449056,23.8398401467,,-1.13630349284,2.92163094064,52.8578244401,1610.07822752,2.0,3.0,3.0,0.666666666667,0.666666666667,3.0,2.0,1.5,1.1743976296e-14,1.19586181176e-14,-1.46400259895,0.763578400421,-0.700424198528,3.53286933192e-07,9.48120464882e-08,5.68650224298e-06,9.48066395962e-08,24.82,1002,1.0
0,59.98,4.14929782022,4.60352666158,inf,-0.0743640036351,1.18989516208,-0.0160760717405,0.981077512992,1477.0,-1.74827774862e-13,1.58036568843e-13,-1.10624886469,5.92878775009e-323,-6.31674483207,-6.67883748319,-7.02809101755,7.90505033346e-323,8.3991159793e-323,0.998017660522,4.04932230535,0.794084570007,1.03753785627e-322,inf,8.99820700515e-07,3.59489604646e-05,24.5333333333,1.93174164621e-07,1.12882147985e-11,19.295005966,2.12028869308,15.8585512202,4.0,1.1562060504e-06,4.17417904828e-06,8.0604813574e-07,9.33446253366e-07,1.63874239552e-05,24.2104876224,24.4291151926,,-0.639685290962,-0.772720431446,67.028216702,64235.1933824,3.0,4.0,2.0,0.75,1.5,3.0,3.0,1.0,1.06707025901e-14,1.08316393014e-14,-0.709079940323,0.443596859396,-0.265483080927,3.24900304625e-07,7.83024788053e-08,4.69185523498e-06,7.82236618037e-08,59.98,1003,1.0
0,59.98,2.49609956026,2.68001295669,0.1996,-0.000523381918841,-0.208241123735,0.00623219770155,0.527594866803,1474.0,-1.3920578991e-13,-8.9169433624e-14,1.56113798475,5.92878775009e-323,-6.39192641763,-6.7326812912,-6.8598800914,7.90505033346e-323,8.3991159793e-323,1.36952288504,0.500585094644,5.07802960494,1.03753785627e-322,8.61274511603e-08,9.67349352118e-07,6.08717762674e-05,24.5833333333,1.69005248935e-07,1.79591118422e-11,20.112021347,1.92861776545,15.5437782507,1.0,1.35763619557e-06,3.57051331076e-06,1.12385049865e-06,7.61482354016e-07,1.8676713337e-05,24.3662245156,24.4823729268,,6.13920636039,-0.720096257016,65.2880700162,56722.5170944,3.0,4.0,4.0,0.75,0.75,4.0,3.0,1.33333333333,1.78636942422e-14,1.81161053968e-14,-0.3017765332,0.228331264678,-0.073445268522,2.49270894289e-07,9.98641633763e-08,5.98950707296e-06,9.98584040173e-08,9.98,1004,1.0
0,59.98,2.54215725899,2.73791751433,0.580917237744,-0.279538896592,-0.295369732288,-0.0547773886674,0.531096517223,1482.0,1.45188559783e-13,8.75281841098e-15,16.5876353154,5.92878775009e-323,-6.09588363428,-6.52445171359,-6.58160722366,7.90505033346e-323,8.3991159793e-323,2.48272980999,2.08065518137,0.263102174341,1.03753785627e-322,1.16656176981e-07,9.52999582246e-07,4.95035538947e-05,24.8166666667,1.84501706916e-07,1.35307364451e-11,17.9803936725,2.05202005217,15.1765789555,3.0,1.31651568039e-06,5.60636701934e-06,1.31748915169e-06,8.4481844492e-07,1.56925371769e-05,23.7725937636,24.2063791513,,-0.957741393388,2.06548017456,57.8677640627,27349.7059606,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.33333333333,1.15492344998e-14,1.17449382723e-14,-1.22059086825,0.406435654157,-0.814155214089,2.25266326162e-07,8.86122702935e-08,5.3146834266e-06,8.86075929743e-08,22.04,1005,1.0
0,59.98,2.65548835845,2.84826934063,0.412623645784,-0.479169163064,-0.225502426684,-0.00558712089642,0.513481500994,1481.0,1.72537972813e-13,3.94707100965e-14,4.37129132947,5.92878775009e-323,-6.16774425338,-6.69955791157,-6.65576529951,7.90505033346e-323,8.3991159793e-323,4.6695968762,2.62128164915,-0.0695870200643,1.03753785627e-322,1.12292835133e-07,9.59401187349e-07,4.68348678559e-05,24.7666666667,1.55772595934e-07,1.71912291627e-11,19.713653741,1.81230015272,15.529255985,7.0,1.4092471514e-06,3.88192595611e-06,1.25623247885e-06,7.12543082514e-07,1.79285309787e-05,24.1503270443,24.4053302155,,0.61227272711,2.75735868606,60.0543534693,48850.4648721,4.0,4.0,4.0,1.0,1.0,3.0,4.0,0.75,1.52864455852e-14,1.55333893229e-14,-2.46490150216,2.00069862019,-0.464202881966,2.61348332659e-07,9.84181805305e-08,5.9025832813e-06,9.84091910853e-08,17.52,1006,1.0
0,59.98,2.6694809113,2.71477528863,0.67261572783,-0.123077641147,0.131157543572,0.0486112491475,0.517358011224,1480.0,-3.74210585375e-13,1.26943114265e-13,-2.94786044553,5.92878775009e-323,-6.26865136969,-6.75889557305,-6.66471429033,7.90505033346e-323,8.3991159793e-323,2.42292151074,1.45871632324,0.566036900677,1.03753785627e-322,1.2477836844e-07,8.41049052378e-07,4.50150001284e-05,24.7166666667,1.73566620936e-07,1.16270114944e-11,19.4360919315,1.86736366778,15.9038768493,2.0,1.22610134545e-06,3.63981778033e-06,8.14536281156e-07,9.30386038962e-07,1.5497942346e-05,24.1399664934,24.3847703446,,-0.90585002539,-0.595671466046,62.1618155446,48293.6304048,4.0,4.0,3.0,1.0,1.33333333333,3.0,4.0,0.75,1.00872378645e-14,1.02530743807e-14,0.150355891487,0.00426602173504,0.154621913222,2.16669615545e-07,8.11654485439e-08,4.86666436392e-06,8.11381187715e-08,24.12,1007,1.0
0,59.98,2.89712612676,3.01996350443,inf,0.0233424102428,0.16548221775,0.0899231264184,0.5625287488,1472.0,-4.45577715367e-13,-7.87339989339e-13,0.565927961745,0.0,-5.84921814675,-6.11670073585,-6.32306112173,0.0,0.0,-0.0330194366786,0.160893621102,1.01071720883,0.0,inf,1.57134655193e-06,4.38942659298e-05,24.4833333333,6.56265792355e-07,1.57611234595e-11,14.9336125444,2.15738195316,15.4121712704,6.0,2.41244128045e-06,1.21068993871e-05,4.62988193938e-06,2.99568166914e-06,1.94128448531e-05,21.6340317667,22.9617466646,,4.50867720531,-0.893135507125,55.3778003185,3997.09369827,3.0,4.0,2.0,0.75,1.5,5.0,3.0,1.66666666667,1.39846981179e-14,1.42225846535e-14,1.86612650741,-1.79244563516,0.0736808722494,2.88260543183e-07,9.94987896869e-08,5.96545823226e-06,9.94574563564e-08,59.98,1008,1.0
