,Window_Length,RappMaxMean,RappMaxMedian,AsDec,KurtoSig,KurtoEnv,SkewSig,SkewEnv,CorPeakNumber,Energy1/3Cor,Energy2/3Cor,int_ratio,E_0.1_1,E_1_3,E_3_10,E_10_20,E_20_50,Kurt_0.1_1,Kurt_1_3,Kurt_3_10,Kurt_10_20,Kurt_20_50,RMSDecPhaseLine,MeanFFT,MaxFFT,FMaxFFT,MedianFFT,VarFFT,FCentroid,Fquart1,Fquart3,NPeakFFT,MeanPeaksFFT,E1FFT,E2FFT,E3FFT,E4FFT,Gamma1,Gamma2,Gamma,KurtoMaxDFT,KurtoMedianDFT,MaxOverMeanDFT,MaxOverMedianDFT,NbrPeaksMaxDFT,NbrPeaksMeanDFT,NbrPeaksMedianDFT,45/46,45/47,NbrPeaksCentralFreq,NbrPeaksMaxFreq,50/51,DistMaxMeanFreqDTF,DistMaxMedianFreqDTF,DistQ2Q1DFT,DistQ3Q2DFT,DistQ3Q1DFT,Peak_Envelope_Amplitude,Average_Envelope_Amplitude,Envelope_Area,Envelope_Velocity,Envelope_Rise_Time,serial_no,label
0,59.98,37.1747304627,57.5648498725,8.93046357616,144.476304095,111.300594178,-3.53854895985,9.3009459321,1285.0,2.28175859906e-12,1.26441866912e-12,1.80459103838,0.0,-5.49556784598,-5.58837334396,-5.58735328635,0.0,3.95252516673e-323,6.1330196855,183.68181152,96.6165952208,4.94065645841e-323,2.11014042236e-05,8.42729368518e-06,3.14037310844e-05,24.6666666667,7.00209703703e-06,3.3986721876e-11,11.3179503744,3.94581252675,15.6655813649,7.0,9.82397007409e-06,5.67760524718e-05,7.2076132746e-05,5.34764096516e-05,2.76371861257e-05,10.5071342433,11.9206218844,,6.71912634764,7.68158921943,35.8229859116,16495.1461172,4.0,3.0,4.0,1.33333333333,1.0,3.0,4.0,0.75,1.15098119603e-14,1.22612315692e-14,-0.574066236121,1.82107466825,1.24700843213,4.28490244462e-06,1.15263847008e-07,6.91374066909e-06,1.15267433629e-07,53.94,0,1.0
0,59.98,4.94527591601,5.6730584753,0.402057035998,1.70031184117,2.70905856519,0.15814650469,1.3159103238,1315.0,2.80192859157e-12,-5.79315501159e-12,-0.483661939991,0.0,-5.2992852481,-5.54284818875,-5.92007302541,0.0,0.0,3.45898295833,1.80456402945,1.01102484447,0.0,2.90640729808e-07,3.15348310822e-06,4.63333470647e-05,0.783333333333,1.37205958532e-06,2.64780522808e-11,7.94940926671,2.40557127311,15.539311134,5.0,4.43509367852e-06,4.65628740044e-05,1.31836663595e-05,6.3936420188e-06,1.24594947025e-05,5.88989458868,10.4488393498,,6.04652702264,-0.1220604699,27.6993795382,540.0491678,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.55793699149e-14,1.60382710554e-14,-1.07330485839,2.50947962144,1.43617476305,6.42817515333e-07,1.29986177971e-07,7.79687475149e-06,1.29991242939e-07,17.2,100,1.0
0,59.98,4.94527591601,5.6730584753,0.402057035998,1.70031184117,2.70905856519,0.15814650469,1.3159103238,1315.0,2.80192859157e-12,-5.79315501159e-12,-0.483661939991,5.92878775009e-323,-5.2992852481,-5.54284818875,-5.92007302541,7.90505033346e-323,8.3991159793e-323,3.45898295833,1.80456402945,1.01102484447,1.03753785627e-322,2.90640729808e-07,3.15348310822e-06,4.63333470647e-05,0.783333333333,1.37205958532e-06,2.64780522808e-11,7.94940926671,2.40557127311,15.539311134,5.0,4.43509367852e-06,4.65628740044e-05,1.31836663595e-05,6.3936420188e-06,1.24594947025e-05,5.88989458868,10.4488393498,,6.04652702264,-0.1220604699,27.6993795382,540.0491678,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.55793699149e-14,1.60382710554e-14,-1.07330485839,2.50947962144,1.43617476305,6.42817515333e-07,1.29986177971e-07,7.79687475149e-06,1.29991242939e-07,17.2,101,1.0
0,59.98,3.5023258838,3.79289664021,0.375688073394,0.0616436113465,0.0703942736612,0.117637782384,0.635204864995,1374.0,-1.00491207708e-11,-1.42999699729e-11,0.702737193842,5.92878775009e-323,-5.37108197216,-5.64014255402,-6.16854538252,7.90505033346e-323,8.3991159793e-323,0.871355094476,4.29163719803,0.759015729582,1.03753785627e-322,1.80320844225e-07,2.48502675475e-06,3.91779011214e-05,0.9,7.83434720324e-07,2.08535996353e-11,7.81308600971,2.34990439588,15.6538945386,6.0,3.54581278926e-06,3.99365112755e-05,7.322745559e-06,3.60024988953e-06,1.11869166576e-05,6.90852498561,11.7958439961,,-0.767439937654,0.37990651663,34.2964200721,1424.78604075,4.0,4.0,3.0,1.0,1.33333333333,4.0,4.0,1.0,1.20376301389e-14,1.23885124886e-14,2.25633907556,-0.963043759427,1.29329531614,4.08892029951e-07,1.16748710291e-07,7.0025548365e-06,1.1674816333e-07,16.38,102,1.0
0,59.98,3.63739453768,4.02835206537,0.155238828968,0.82953659781,1.62461988053,-0.0170139158451,1.08592213613,1447.0,1.48629062973e-12,1.27916839373e-12,1.16191944471,5.92878775009e-323,-5.645579942,-6.01503218959,-6.69474682253,7.90505033346e-323,8.3991159793e-323,5.67709241112,6.88314895768,0.405827290854,1.03753785627e-322,9.37140292015e-08,1.16903755744e-06,2.52272271773e-05,2.23333333333,2.45089051824e-07,7.85446541611e-12,10.1038374715,2.30847047876,15.8420949956,4.0,1.56058927379e-06,1.74364728921e-05,1.3447089659e-06,1.22586370697e-06,9.13312507509e-06,11.8405576993,16.3144102191,,-1.40814064726,-0.893368070821,44.7928739853,10769.7820814,3.0,4.0,2.0,0.75,1.5,3.0,3.0,1.0,5.53547950226e-15,5.65654815465e-15,6.02044348667,8.20180601677,14.2222495034,2.45897396674e-07,6.76026188875e-08,4.0543358275e-06,6.75947953901e-08,8.06,103,1.0
0,59.98,3.08093090039,3.35992913014,0.361943687557,0.627043837649,-0.294303280509,0.0272215222262,0.575784779838,1468.0,4.86273360446e-13,-2.17794544875e-12,-0.223271597884,5.92878775009e-323,-5.8728142976,-6.41916915703,-7.05463899074,7.90505033346e-323,8.3991159793e-323,3.49990782962,8.12036987213,0.905749474099,1.03753785627e-322,9.26224678837e-08,8.46121524833e-07,3.48003274598e-05,24.6833333333,1.12424588665e-07,7.21691544626e-12,13.4130459747,1.94876049307,15.5580527363,3.0,1.08788376724e-06,9.64718395443e-06,8.21293161541e-07,4.61954621279e-07,1.01188705686e-05,19.8042434638,21.9222486263,,-0.664690618544,-0.0707983096219,49.4474986644,29461.0378804,3.0,3.0,3.0,1.0,1.0,2.0,3.0,0.666666666667,5.23361131815e-15,5.33833784916e-15,-1.14636063793,4.31317735399,3.16681671605,1.90707213063e-07,6.18992178755e-08,3.71321535685e-06,6.1907558467e-08,15.94,104,1.0
0,59.98,3.08093090039,3.35992913014,0.361943687557,0.627043837649,-0.294303280509,0.0272215222262,0.575784779838,1468.0,4.86273360446e-13,-2.17794544875e-12,-0.223271597884,5.92878775009e-323,-5.8728142976,-6.41916915703,-7.05463899074,7.90505033346e-323,8.3991159793e-323,3.49990782962,8.12036987213,0.905749474099,1.03753785627e-322,9.26224678837e-08,8.46121524833e-07,3.48003274598e-05,24.6833333333,1.12424588665e-07,7.21691544626e-12,13.4130459747,1.94876049307,15.5580527363,3.0,1.08788376724e-06,9.64718395443e-06,8.21293161541e-07,4.61954621279e-07,1.01188705686e-05,19.8042434638,21.9222486263,,-0.664690618544,-0.0707983096219,49.4474986644,29461.0378804,3.0,3.0,3.0,1.0,1.0,2.0,3.0,0.666666666667,5.23361131815e-15,5.33833784916e-15,-1.14636063793,4.31317735399,3.16681671605,1.90707213063e-07,6.18992178755e-08,3.71321535685e-06,6.1907558467e-08,15.94,105,1.0
0,59.98,2.87447266983,3.05236440151,2.3848758465,0.0164033483376,-0.296270207735,-0.0260742794596,0.521836454911,1497.0,3.47583574611e-12,-3.22891472364e-12,-1.07647183144,5.92878775009e-323,-5.76594894603,-6.35783094841,-6.97986146713,7.90505033346e-323,8.3991159793e-323,3.29091312068,2.62811152687,1.48305226813,1.03753785627e-322,2.93414007591e-07,9.44336834154e-07,3.9403813339e-05,24.95,1.43502745159e-07,8.46500072805e-12,12.3537310699,1.84179040848,15.5701159019,1.0,1.31010862774e-06,1.16849037726e-05,1.1066900397e-06,5.34703663724e-07,1.01216597249e-05,17.8610480575,20.8059717265,,-0.217877020118,-0.430990815304,49.7383126519,29011.6107754,4.0,4.0,4.0,1.0,1.0,3.0,4.0,0.75,7.06581649242e-15,7.18807411396e-15,3.64029879681,8.21642023008,11.8567190269,1.99651418724e-07,6.94567114239e-08,4.16461906197e-06,6.9433462187e-08,42.26,106,1.0
0,59.98,3.30845564642,3.56727527541,1.17476432197,0.147886119998,0.17587356266,0.0400910824925,0.684263286049,1436.0,6.09047289138e-12,-2.09866767438e-12,-2.90206637561,5.92878775009e-323,-5.62805057417,-6.20857032997,-6.92571906315,7.90505033346e-323,8.3991159793e-323,1.20272781252,1.47398198704,0.921671453788,1.03753785627e-322,1.77627623189e-07,1.08658804545e-06,3.02132360891e-05,24.85,1.86645315196e-07,8.30594238587e-12,10.6648981911,1.89095163546,15.6124320692,4.0,1.52463955775e-06,1.5435768883e-05,1.19914024638e-06,6.71430931134e-07,9.74506098379e-06,13.4843500443,17.8047869631,,-1.03352485614,0.403583407809,35.9231553657,17646.1815885,4.0,4.0,3.0,1.0,1.33333333333,3.0,4.0,0.75,4.63661355688e-15,4.7635436645e-15,1.02909073223,2.36572387604,3.39481460826,2.28129578706e-07,6.89534946471e-08,4.13525918957e-06,6.89439678154e-08,32.4,107,1.0
0,59.98,3.20722890816,3.59525387431,0.183971575207,0.620616908985,0.00867785302475,0.0667709417356,0.741510921609,1371.0,6.09992564066e-12,-1.20938191668e-12,-5.043837316,0.0,-5.61352902921,-6.02973020352,-6.93651952655,0.0,0.0,3.63666521724,6.7259846932,1.18073669618,0.0,8.54015679078e-08,1.15323837404e-06,2.83189543407e-05,24.7333333333,1.6681377262e-07,8.81290164223e-12,9.74636503502,2.11896267077,15.6087430225,3.0,1.48511981073e-06,1.80147134499e-05,9.35961806312e-07,6.52478109596e-07,9.09375653175e-06,11.0208716997,15.6607983145,,0.828704363859,0.287652650787,47.3472121528,44323.2480797,3.0,3.0,4.0,1.0,0.75,2.0,3.0,0.666666666667,7.47488527162e-15,7.61121929778e-15,8.34014237529,6.66794729896,15.0080896742,2.21401385407e-07,6.90319873469e-08,4.13997688471e-06,6.9022622286e-08,9.32,1081,1.0
0,59.98,3.58494654923,3.7370834445,0.326991150442,0.543560416778,0.921191984165,-0.014463772328,0.776570585611,1439.0,-7.01591496735e-13,-2.85489071754e-13,2.45750736596,5.92878775009e-323,-5.62826912892,-6.36164437951,-7.02326228102,7.90505033346e-323,8.3991159793e-323,4.77483397239,4.3159596946,2.26063908064,1.03753785627e-322,1.04860724954e-07,9.81281441984e-07,2.40978026154e-05,24.9333333333,1.47508567984e-07,8.1863762321e-12,10.8246983477,1.61757338174,15.6825564974,6.0,1.35441387266e-06,1.3820386138e-05,7.80853727923e-07,6.62210608399e-07,9.18091182913e-06,11.8515146473,16.5864319678,,1.41344666108,-0.393503743285,45.1507175816,34843.419263,4.0,3.0,3.0,1.33333333333,1.33333333333,4.0,4.0,1.0,5.77978662118e-15,5.89918642395e-15,2.33949880206,9.01821451136,11.3577133134,2.39540469139e-07,6.68184213766e-08,4.0076456338e-06,6.68163660186e-08,14.78,1082,1.0
0,59.98,5.18732299493,6.56676738276,0.1592578276,4.88959125658,5.71680498801,0.10670559465,2.17399618621,1059.0,-1.27480227845e-11,7.54078609465e-12,-1.69054295196,5.92878775009e-323,-5.33296875697,-5.85369683297,-6.63591728324,7.90505033346e-323,8.3991159793e-323,9.4693723753,11.1750601448,1.88127252265,1.03753785627e-322,2.19152240462e-07,1.83046934306e-06,5.57129565502e-05,2.0,2.63225921442e-07,2.49037549329e-11,7.15984034164,2.01453892204,15.5789483366,3.0,2.49379282134e-06,3.30415266067e-05,2.50331092727e-06,1.04877003891e-06,9.05515360979e-06,5.40586269641,9.92960832428,,7.65430279416,-0.989312932177,35.9858125161,39976.9282894,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.85159452782e-14,1.8894256064e-14,2.92784285343,5.0523096263,7.98015247972,5.38454008311e-07,1.0380190492e-07,6.22709328667e-06,1.03819494609e-07,8.24,1083,1.0
0,59.98,4.09031271466,4.69598075556,0.28217186832,0.766951741456,0.895937437254,0.00660190471132,0.949048331557,1395.0,7.9195366832e-12,-6.78815158814e-12,-1.16667057009,5.92878775009e-323,-5.44839531983,-5.97214355476,-6.84667523855,7.90505033346e-323,8.3991159793e-323,2.96221154461,9.89003879866,0.9889875238,1.03753785627e-322,1.51522959532e-07,1.4878864268e-06,3.68610540403e-05,24.6666666667,1.77466464198e-07,1.49866733903e-11,8.46516689569,1.95090609775,15.6043107104,2.0,2.11197218373e-06,2.53334128607e-05,1.119319679e-06,7.59273190959e-07,9.90707811042e-06,9.40246669206,14.3273298703,,0.116435745455,0.120172678887,38.2850450297,31039.2931945,2.0,3.0,2.0,0.666666666667,1.0,3.0,2.0,1.5,8.27215934361e-15,8.50433057469e-15,2.66976667031,2.05047650608,4.72024317639,3.65776031403e-07,8.94249552343e-08,5.36299253068e-06,8.94130131823e-08,13.2,1084,1.0
0,59.98,4.21668129166,5.00089923578,0.321145374449,1.91763927335,2.26671819766,0.0722199886523,1.36192427679,1364.0,3.66856029031e-12,-2.18048415128e-13,-16.8245216924,5.92878775009e-323,-5.49295103348,-6.17254002044,-6.86687359024,7.90505033346e-323,8.3991159793e-323,5.11361639532,4.40073678348,1.09919290998,1.03753785627e-322,1.39540527599e-07,1.22776316145e-06,3.1018749612e-05,1.66666666667,1.95826371465e-07,1.26652562032e-11,9.91874673832,1.70412758905,15.8244798607,5.0,1.47856691089e-06,1.85218350527e-05,9.7480486574e-07,9.22203662955e-07,1.01117743417e-05,9.68394384161,14.6688489942,,1.7676082155,-0.916035745565,47.5009616444,35093.6710958,3.0,2.0,2.0,1.5,1.5,4.0,3.0,1.33333333333,9.73815610646e-15,9.92877017144e-15,2.97861587109,9.86563437238,12.8442502435,3.34420508023e-07,7.93089363155e-08,4.75673668528e-06,7.93053798814e-08,14.58,1085,1.0
0,59.98,4.20813448608,4.64759178677,1.96051332675,0.915765061056,1.20473598519,-0.0891352787266,0.904998663878,1405.0,4.06422206733e-12,1.28314892532e-12,3.16738142169,5.92878775009e-323,-5.65951615679,-6.13442773758,-7.01586357172,7.90505033346e-323,8.3991159793e-323,1.49242561294,1.90769819185,0.346513567694,1.03753785627e-322,2.82608349117e-07,8.90257293689e-07,2.75430646766e-05,24.9,1.1461196631e-07,6.35614587333e-12,10.7998604437,2.16100889835,15.6208775179,4.0,1.37130756449e-06,1.2888730957e-05,7.70923120304e-07,4.85936597762e-07,8.02808312324e-06,13.6502621461,17.7809040308,,4.0575078828,-0.421439580473,42.372872033,31490.2475445,4.0,3.0,1.0,1.33333333333,4.0,1.0,4.0,0.25,4.03548169826e-15,4.13477634533e-15,3.58956727306,4.80135921499,8.39092648805,2.49147050847e-07,5.92060571428e-08,3.55111483209e-06,5.92049821955e-08,39.72,1086,1.0
0,59.98,3.59234788595,3.87825304769,0.383940932164,0.176378888581,0.131337033626,0.169206985533,0.666472483871,1450.0,2.40205173163e-12,-2.7487061731e-12,-0.87388450433,5.92878775009e-323,-5.60650731362,-6.08753966392,-6.86709490042,7.90505033346e-323,8.3991159793e-323,3.05857770813,6.12427350341,4.42620918152,1.03753785627e-322,1.18240152026e-07,1.27683503678e-06,3.65239671745e-05,24.6833333333,1.76129473977e-07,1.00543319723e-11,9.58854720555,2.06928530827,15.5423606508,2.0,1.81153075493e-06,1.97097164624e-05,1.73257448466e-06,6.02529154997e-07,9.74689508411e-06,12.5698115513,17.078274142,,0.0752136030682,0.0600489344454,37.9637899982,20043.2915376,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,5.93640588023e-15,6.09123668252e-15,4.74879897954,0.354513617026,5.10331259657,2.74300432941e-07,7.63568678896e-08,4.57897359772e-06,7.63416738534e-08,16.64,1087,1.0
0,59.98,4.16285463047,4.60253142056,6.6116751269,1.09543369057,1.36289823007,0.13970909585,0.998480136897,1403.0,4.10023178064e-13,1.56034809759e-12,0.26277673469,5.92878775009e-323,-5.67517691146,-6.25793283354,-6.94534212768,7.90505033346e-323,8.3991159793e-323,0.731316024632,8.80786357712,9.02613396435,1.03753785627e-322,1.03745775628e-06,1.07050699128e-06,2.71767361402e-05,24.8666666667,1.76675418384e-07,7.90380896594e-12,10.4470737655,1.78762177577,15.6916541531,2.0,1.50739547658e-06,1.54606454886e-05,1.11957926899e-06,7.2424150401e-07,9.28197933274e-06,12.8806010639,17.4135959622,,-0.759445787894,2.55606764801,32.8871681724,15967.4803461,3.0,4.0,4.0,0.75,0.75,4.0,3.0,1.33333333333,4.11752782961e-15,4.23973808766e-15,2.42615661282,2.38277049178,4.80892710461,2.74528577307e-07,6.59471928945e-08,3.95569149654e-06,6.59501750007e-08,52.1,1088,1.0
0,59.98,4.04290024103,4.72205032816,0.227086743044,1.78459832291,2.1099063391,-0.0241578626019,1.32951214532,1449.0,-2.24429990527e-13,7.35409515363e-13,-0.305176892382,5.92878775009e-323,-5.66940985853,-6.12080787349,-6.84659061343,7.90505033346e-323,8.3991159793e-323,7.6274486591,7.40736959726,4.29127094292,1.03753785627e-322,1.01659405818e-07,1.0688186096e-06,2.45018493049e-05,24.7666666667,1.72717228483e-07,8.18027469769e-12,10.7013898349,2.2890060274,15.5946534286,7.0,1.43646615807e-06,1.52246769969e-05,1.49968507041e-06,6.95793166373e-07,9.20030965339e-06,13.4460837527,17.6206503215,,-0.40922941242,-0.447062176795,53.1539032915,18954.6114902,3.0,3.0,4.0,1.0,0.75,2.0,3.0,0.666666666667,6.62331476113e-15,6.7482160044e-15,8.23109671422,2.15932957688,10.3904262911,2.63755494182e-07,6.52391794151e-08,3.91391060705e-06,6.5253594649e-08,11.1,1089,1.0
0,59.98,3.91524845331,4.18843534162,0.223582211342,0.0172679385318,0.508135552777,-0.0316747996237,0.631551716833,1460.0,7.68873589467e-14,2.51025648822e-13,0.306292840224,5.92878775009e-323,-5.76714533852,-6.21012035144,-6.9870950633,7.90505033346e-323,8.3991159793e-323,4.02399209699,8.18993256894,8.66576824421,1.03753785627e-322,1.05021171923e-07,9.73409489551e-07,2.82317776332e-05,24.7333333333,1.42525612303e-07,7.58605103883e-12,12.177209296,2.26194337362,15.6944606768,6.0,1.38606257913e-06,1.25398522525e-05,9.50129352442e-07,6.43953794025e-07,9.99789384646e-06,18.2742832255,20.9543378388,,-0.535896705697,4.11706452813,53.4166832344,35963.8440308,3.0,4.0,4.0,0.75,0.75,3.0,3.0,1.0,5.83202422447e-15,5.94699346604e-15,0.875956312157,6.7410292076,7.61698551975,2.60447747728e-07,6.6521384488e-08,3.99052527224e-06,6.65309315146e-08,10.96,108,1.0
0,59.98,3.47372510623,3.91167034687,4.52302025783,0.719747735263,0.169148293351,0.0047819140189,0.776650480034,1367.0,-2.09033016752e-12,4.92907726678e-12,-0.42408143642,5.92878775009e-323,-5.43265318421,-5.9090914408,-6.75771129463,7.90505033346e-323,8.3991159793e-323,0.770098017373,4.11696708341,2.88886521577,1.03753785627e-322,7.85583678474e-07,1.51908020285e-06,2.90171866372e-05,24.7,2.13489574823e-07,1.36601653424e-11,8.70482040465,2.11371853381,15.6698361301,8.0,2.20986670435e-06,2.50464693791e-05,1.96083446584e-06,7.96500251364e-07,1.01291940218e-05,9.90271210408,14.7814215681,,-0.792770277695,-0.375514133131,33.9141056661,28320.6129667,4.0,3.0,2.0,1.33333333333,2.0,3.0,4.0,0.75,7.63225241406e-15,7.8476881852e-15,0.897968100635,0.260116347116,1.15808444775,2.98644918402e-07,8.59725249608e-08,5.15645138117e-06,8.59695128571e-08,49.12,1090,1.0
0,59.98,3.75388390648,3.94144906037,0.334074733096,0.790235114871,0.297002108976,-0.0145004767213,0.653422918469,1479.0,4.44094200017e-13,1.11978973879e-14,39.6587131169,5.92878775009e-323,-5.89688793964,-6.39003964812,-6.91544895464,7.90505033346e-323,8.3991159793e-323,4.54773066998,3.33383560766,0.714749712853,1.03753785627e-322,8.27355648629e-08,7.58292420602e-07,2.8395008691e-05,24.8,1.54436354448e-07,4.5665169253e-12,12.7257913828,2.00295626323,15.6782352617,3.0,1.06776198678e-06,8.97385865881e-06,8.96090912235e-07,6.93154241537e-07,8.31884835445e-06,18.5645575844,21.163338242,,-0.758198355405,-0.601930253229,49.8117587195,13720.6679137,3.0,3.0,3.0,1.0,1.0,2.0,3.0,0.666666666667,3.53589640769e-15,3.60485572542e-15,6.43920592406,3.0110827094,9.45028863346,1.8845304907e-07,5.02021516288e-08,3.01067367658e-06,5.01946261517e-08,15.02,1091,1.0
