,Window_Length,RappMaxMean,RappMaxMedian,AsDec,KurtoSig,KurtoEnv,SkewSig,SkewEnv,CorPeakNumber,Energy1/3Cor,Energy2/3Cor,int_ratio,E_0.1_1,E_1_3,E_3_10,E_10_20,E_20_50,Kurt_0.1_1,Kurt_1_3,Kurt_3_10,Kurt_10_20,Kurt_20_50,RMSDecPhaseLine,MeanFFT,MaxFFT,FMaxFFT,MedianFFT,VarFFT,FCentroid,Fquart1,Fquart3,NPeakFFT,MeanPeaksFFT,E1FFT,E2FFT,E3FFT,E4FFT,Gamma1,Gamma2,Gamma,KurtoMaxDFT,KurtoMedianDFT,MaxOverMeanDFT,MaxOverMedianDFT,NbrPeaksMaxDFT,NbrPeaksMeanDFT,NbrPeaksMedianDFT,45/46,45/47,NbrPeaksCentralFreq,NbrPeaksMaxFreq,50/51,DistMaxMeanFreqDTF,DistMaxMedianFreqDTF,DistQ2Q1DFT,DistQ3Q2DFT,DistQ3Q1DFT,Peak_Envelope_Amplitude,Average_Envelope_Amplitude,Envelope_Area,Envelope_Velocity,Envelope_Rise_Time,serial_no,label
0,59.98,2.90154278168,3.14670062097,4.78957528958,0.16454010129,-0.478952582022,0.0216360010117,0.475209370389,1434.0,-1.95137693316e-13,2.67172129591e-12,-0.0730381921255,0.0,-5.67262794564,-6.29012294105,-6.74390931721,0.0,3.95252516673e-323,1.64226233986,25.585544687,31.1291491515,4.94065645841e-323,5.99092416262e-07,1.11397550137e-06,3.19774864835e-05,24.8666666667,3.36322241194e-07,9.42165174715e-12,13.0916073625,2.04698381113,15.2681665596,5.0,1.57360734256e-06,1.16303943841e-05,2.56130591069e-06,1.59093635014e-06,1.18991035934e-05,17.294223794,20.3928526741,,0.415225966704,3.5509352038,53.0414575769,40573.2211129,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,7.77878158084e-15,7.92392560464e-15,3.78927570798,4.56443920579,8.35371491377,2.15802861164e-07,7.43752125684e-08,4.46184915994e-06,7.43889489819e-08,49.62,0,1.0
0,59.98,3.65919938155,3.89664124915,0.237211221122,0.889316498262,1.32421372192,-0.0178508200093,0.963416605917,1437.0,-3.20086671609e-12,2.58091934663e-12,-1.24020408475,0.0,-5.71613311943,-6.38606558278,-6.93446946214,0.0,0.0,4.33155564226,4.74645683117,2.46819626983,0.0,1.07170427736e-07,9.35198848833e-07,3.91760804782e-05,24.9666666667,1.57201634197e-07,9.68063125039e-12,12.8104129498,1.90710131301,15.3950350288,1.0,1.23307958433e-06,1.09977118619e-05,1.18678622859e-06,6.73029866507e-07,1.0430598621e-05,16.5106433909,19.9111436885,,-0.568007731053,0.213300893826,64.3117144231,34940.663821,4.0,3.0,2.0,1.33333333333,2.0,2.0,4.0,0.5,8.83927620432e-15,8.98266843377e-15,4.00266241813,7.78891842386,11.791580842,2.63680465364e-07,7.20596059053e-08,4.32317053861e-06,7.20768679328e-08,11.5,1000,1.0
0,59.98,4.25782138314,5.11094604764,0.337048595631,1.34482395204,1.41781926533,0.016651606841,1.12813521432,1416.0,-3.28048520972e-12,-3.25014451214e-13,10.0933518416,5.92878775009e-323,-5.61633540061,-6.24650346261,-7.0344361227,7.90505033346e-323,8.3991159793e-323,5.78797591776,4.2706197005,0.455568242758,1.03753785627e-322,1.1457213685e-07,9.72972870562e-07,3.0225875877e-05,24.95,1.06451602407e-07,8.81562156501e-12,10.294269816,1.91021335476,15.4818815568,3.0,1.19428567588e-06,1.45389413047e-05,8.05951275979e-07,4.64038339387e-07,8.35327501829e-06,11.2480391405,16.0172154819,,-0.0808165990314,0.18484336599,50.8412311251,45057.647791,3.0,4.0,3.0,0.75,1.0,3.0,3.0,1.0,6.65315202624e-15,6.78822303676e-15,3.47080220493,11.7501093318,15.2209115367,2.80193500552e-07,6.58067765973e-08,3.94763233705e-06,6.58158108878e-08,15.12,1001,1.0
0,59.98,3.6086478663,4.1199946186,0.250625521268,0.489539063477,0.695611476566,-0.0974386081935,0.96005184671,1461.0,-4.51785404391e-12,4.67352249075e-12,-0.9666914095,5.92878775009e-323,-5.74060921956,-6.37841512171,-7.08046702072,7.90505033346e-323,8.3991159793e-323,6.21721632449,7.06263993694,2.69133674158,1.03753785627e-322,1.02678140881e-07,1.00961467622e-06,3.00986800208e-05,24.9666666667,1.59641394869e-07,9.0469789613e-12,12.35778785,1.76188451439,15.8125979963,6.0,1.35805173804e-06,1.26011069533e-05,7.89073917183e-07,6.47278476332e-07,1.10137555076e-05,15.4924812645,19.2320368102,,4.21025543811,0.0934335425315,48.4919523515,52257.4979886,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,6.86340890302e-15,6.9995980768e-15,-0.0217799001662,12.2658545184,12.2440746182,2.54664721981e-07,7.05706767232e-08,4.23102348889e-06,7.05405716721e-08,12.02,1002,1.0
0,59.98,3.64785874857,4.22590150477,0.214661806399,0.782889368668,0.180771529934,0.0731184879161,0.804246338122,1478.0,-6.11253962536e-13,7.20874567203e-13,-0.847933871364,5.92878775009e-323,-5.95076780348,-6.21231222226,-7.02017141712,7.90505033346e-323,8.3991159793e-323,10.7197793851,7.11835407645,2.12585759397,1.03753785627e-322,9.02049737041e-08,9.27458324933e-07,2.92004119139e-05,24.5666666667,1.67158677655e-07,6.82310422316e-12,12.9528383695,2.48706736313,15.7567530508,5.0,1.22940314522e-06,1.10889419623e-05,1.05074908042e-06,5.98072529642e-07,1.02612056785e-05,19.5858726813,21.7661018738,,-0.279101279258,1.98335853002,58.0146153785,34690.9491476,4.0,4.0,3.0,1.0,1.33333333333,3.0,4.0,0.75,5.94695787447e-15,6.04898160603e-15,6.17486625133,4.161502527,10.3363687783,2.21033010719e-07,6.05925354992e-08,3.63307034828e-06,6.05713629256e-08,10.6,1003,1.0
0,59.98,2.98511594464,3.15829082137,inf,0.0371139039918,-0.212621645075,0.0440827702081,0.465351944442,1475.0,1.41142652676e-14,-1.096704655e-13,-0.128697048957,5.92878775009e-323,-6.16203732234,-6.46236956675,-7.10256248929,7.90505033346e-323,8.3991159793e-323,9.50909249746,7.65795010667,0.236090771463,1.03753785627e-322,inf,7.49188606782e-07,2.77097453879e-05,24.5333333333,1.53278569877e-07,5.72254211754e-12,15.4527327631,2.35147320214,15.6768854944,7.0,1.08236979451e-06,6.78686991699e-06,7.93316248752e-07,5.62332377934e-07,1.04898430494e-05,22.4831971536,23.4519143917,,2.16847099714,0.767517065746,62.4672315061,37214.1966333,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,5.05193960794e-15,5.13247144268e-15,4.3417773093,2.31502084746,6.65679815676,1.72553799774e-07,5.7804722823e-08,3.46502145611e-06,5.77696141399e-08,59.98,1004,1.0
0,59.98,2.96859118925,3.29700405638,0.366909753874,0.144205459435,-0.30899260873,-0.0351517096351,0.556257115959,1474.0,4.36742453482e-13,-7.8106975849e-13,-0.559159343624,5.92878775009e-323,-5.89693945169,-6.29126694577,-7.01061324731,7.90505033346e-323,8.3991159793e-323,6.52249926456,3.38792266308,1.08217738258,1.03753785627e-322,8.52955733297e-08,8.52519202312e-07,3.3358579918e-05,24.9,1.20181391258e-07,6.83529598657e-12,13.7921745155,2.29364876496,15.3359852288,2.0,1.26885123612e-06,9.39209607631e-06,9.67445663697e-07,4.80771414313e-07,1.03298704643e-05,20.3583704664,22.2420368608,,2.1408736735,-0.444745390804,49.4553196326,31704.7630566,4.0,4.0,3.0,1.0,1.33333333333,4.0,4.0,1.0,5.28565452225e-15,5.38881862034e-15,6.04603530759,-1.88134072569,4.1646945819,1.83444752585e-07,6.17952223428e-08,3.70653365699e-06,6.17961596698e-08,16.1,1005,1.0
0,59.98,3.99716335852,4.44779437982,0.30618466899,1.2901374294,2.80676940457,-0.0423336290668,1.4256306716,1427.0,-5.82624380072e-13,-1.71198436539e-12,0.34032108695,5.92878775009e-323,-5.64098478096,-6.34417219014,-7.06505904485,7.90505033346e-323,8.3991159793e-323,6.85187328564,7.38455154426,4.58496702855,1.03753785627e-322,1.22320533342e-07,9.85271935757e-07,3.90108357774e-05,24.7,1.3791489079e-07,1.15547105963e-11,12.5534965733,1.87071788306,15.5570579052,3.0,1.28712802074e-06,1.21700653075e-05,8.40414279794e-07,5.04831957595e-07,1.09929256999e-05,13.9400906298,18.1383584755,,5.10751617915,0.0925725674284,61.3493258877,69581.4774065,3.0,2.0,4.0,1.5,0.75,1.0,3.0,0.333333333333,1.05051021788e-14,1.06746792752e-14,-2.65270918799,11.0470694506,8.3943602626,3.10517974074e-07,7.76845843472e-08,4.65859651932e-06,7.76691650437e-08,14.06,1006,1.0
0,59.98,3.52217426985,4.00054195866,0.24130794702,0.788454645666,0.29125861901,-0.0198123108975,0.819639478842,1477.0,-6.78696159992e-13,2.70339797126e-13,-2.51052995973,5.92878775009e-323,-5.87423451631,-6.34777499733,-7.07270408492,7.90505033346e-323,8.3991159793e-323,5.12677559017,5.51169185718,0.419619719932,1.03753785627e-322,7.95137148477e-08,8.46885906268e-07,2.96879769324e-05,24.7333333333,1.40123161253e-07,5.5648956638e-12,12.3509112152,2.02423848762,15.5778052307,1.0,1.08347350935e-06,1.0614678501e-05,7.92298335772e-07,5.57913716558e-07,9.12208483544e-06,17.9213422731,20.7655327878,,-0.418126931748,-0.380533222572,45.081119245,24335.1344715,4.0,4.0,3.0,1.0,1.33333333333,3.0,4.0,0.75,3.66106531081e-15,3.74922370132e-15,2.44550272456,3.51703444928,5.96253717384,1.96238770697e-07,5.57152360053e-08,3.34162063549e-06,5.57122480075e-08,11.66,1007,1.0
0,59.98,3.84484379475,4.54224814286,0.489816194734,1.64830509228,1.3865432993,-0.0287280003207,1.25998139443,1427.0,-1.51738823797e-11,8.97731586452e-12,-1.69024713051,0.0,-5.42365648795,-6.03629233722,-7.01681134215,0.0,0.0,4.02411736067,3.68242908466,1.43305735036,0.0,1.63543637076e-07,1.38515684942e-06,4.73610710012e-05,1.33333333333,9.63032641043e-08,1.79395348614e-11,9.01034055784,1.87784546186,15.4007969388,2.0,1.77270823125e-06,2.30474202646e-05,7.56787277988e-07,3.79035896374e-07,1.03960107049e-05,9.40866710466,14.4088952683,,-0.664113072296,0.0133070339789,51.5231813222,92079.3973623,3.0,3.0,3.0,1.0,1.0,2.0,3.0,0.666666666667,1.39285275709e-14,1.42055370496e-14,-5.52824110555,10.8021757916,5.27393468607,3.65935338169e-07,9.51756060073e-08,5.70977520145e-06,9.51946515747e-08,19.72,1008,1.0
