,Window_Length,RappMaxMean,RappMaxMedian,AsDec,KurtoSig,KurtoEnv,SkewSig,SkewEnv,CorPeakNumber,Energy1/3Cor,Energy2/3Cor,int_ratio,E_0.1_1,E_1_3,E_3_10,E_10_20,E_20_50,Kurt_0.1_1,Kurt_1_3,Kurt_3_10,Kurt_10_20,Kurt_20_50,RMSDecPhaseLine,MeanFFT,MaxFFT,FMaxFFT,MedianFFT,VarFFT,FCentroid,Fquart1,Fquart3,NPeakFFT,MeanPeaksFFT,E1FFT,E2FFT,E3FFT,E4FFT,Gamma1,Gamma2,Gamma,KurtoMaxDFT,KurtoMedianDFT,MaxOverMeanDFT,MaxOverMedianDFT,NbrPeaksMaxDFT,NbrPeaksMeanDFT,NbrPeaksMedianDFT,45/46,45/47,NbrPeaksCentralFreq,NbrPeaksMaxFreq,50/51,DistMaxMeanFreqDTF,DistMaxMedianFreqDTF,DistQ2Q1DFT,DistQ3Q2DFT,DistQ3Q1DFT,Peak_Envelope_Amplitude,Average_Envelope_Amplitude,Envelope_Area,Envelope_Velocity,Envelope_Rise_Time,serial_no,label
0,59.98,3.47397942822,3.97119490617,0.614101184069,1.26437908719,1.34765829347,0.0237918605926,1.17026788367,1485.0,2.88853077816e-13,-2.2708056636e-13,-1.27202905315,0.0,-6.19370657367,-6.66468201987,-6.90048197693,0.0,3.95252516673e-323,4.75655402782,2.38855264357,1.33582973569,4.94065645841e-323,1.05048890579e-07,7.05270703165e-07,3.48745534431e-05,24.9666666667,1.93525382696e-07,6.89287404743e-12,17.4096508003,2.12306521483,15.5996642363,4.0,9.29020927901e-07,4.41235541287e-06,1.06950075533e-06,9.09586570699e-07,1.11065910305e-05,23.5920247802,24.111553834,,-1.40653745237,-0.963569723543,64.7510054875,25289.6899822,5.0,4.0,1.0,1.25,5.0,4.0,5.0,0.8,6.22770142718e-15,6.32537118796e-15,-1.44791020124,2.64203104485,1.1941208436,2.0957518126e-07,6.03271221347e-08,3.61676791334e-06,6.02995650774e-08,22.82,1000,1.0
0,59.98,3.09877749738,3.28717337837,0.716657126503,-0.0107584752654,0.130323473199,-0.000709146697261,0.586853927952,1480.0,-8.03152056392e-13,8.9007130157e-14,-9.02345750251,0.0,-5.88667553846,-6.48315176811,-7.0254161616,0.0,0.0,2.72559603922,3.1663874636,0.766889241652,0.0,1.11673604224e-07,7.54174770285e-07,3.60659539197e-05,24.7166666667,1.17345898845e-07,6.6270870088e-12,14.3823699304,2.00015064162,15.4697606932,2.0,1.14893555878e-06,7.74037697553e-06,7.58985723004e-07,5.24253041427e-07,9.63246159137e-06,20.4246072743,22.3112005948,,-0.567533051614,-0.27243314279,58.1049967092,28171.1280326,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,5.10433816131e-15,5.19977825167e-15,0.116871090461,2.44131727227,2.55818836273,1.90826383356e-07,6.15811827464e-08,3.69440381714e-06,6.15939282617e-08,25.04,1001,1.0
0,59.98,2.83237350725,3.15671539214,0.300520381613,0.0141205965179,0.0128896104638,-0.0193674950363,0.713753378938,1474.0,4.00183677875e-13,-2.49778233727e-13,-1.6021559281,5.92878775009e-323,-6.07688366396,-6.62471540853,-7.05049022459,7.90505033346e-323,8.3991159793e-323,2.60724845478,3.05261405129,1.66557671419,1.03753785627e-322,7.01355551719e-08,6.47711669719e-07,2.4389486659e-05,24.6166666667,1.23999808894e-07,4.96551186633e-12,15.4461966661,1.88010179528,15.6277170218,5.0,8.73649026997e-07,5.7268285125e-06,7.27745743516e-07,5.55919046359e-07,8.97823587515e-06,21.9251814958,23.1803396943,,5.85413574706,0.309105634478,59.2315849361,29194.5259276,4.0,4.0,1.0,1.0,4.0,3.0,4.0,0.75,4.28454380702e-15,4.35208453276e-15,-4.79844962364,-0.583640654143,-5.38209027778,1.48775153017e-07,5.25266715834e-08,3.14993949508e-06,5.25164970837e-08,13.86,1002,1.0
0,59.98,3.1813068124,3.68395295259,0.270762711864,0.31372904881,0.00917796681276,0.0179349958348,0.774939203382,1479.0,-3.84109226398e-14,-2.1296936844e-13,0.18035890758,5.92878775009e-323,-6.03556607204,-6.26816127586,-6.94446737259,7.90505033346e-323,8.3991159793e-323,4.21819082111,16.416325196,2.09092333499,1.03753785627e-322,8.53112174833e-08,8.39565893189e-07,4.6975574337e-05,24.6666666667,1.45637945418e-07,6.56194413892e-12,13.7712455637,2.49439175688,15.5241849064,1.0,1.23373810534e-06,9.16668619555e-06,1.09862139365e-06,5.76394836722e-07,1.0115551748e-05,21.5944308764,22.9342808921,,0.70973159608,-0.789652407357,53.4960632206,20466.365289,3.0,3.0,2.0,1.0,1.5,3.0,3.0,1.0,5.42499193221e-15,5.52436053497e-15,4.10288609725,-0.135178146239,3.96770795101,1.91073650988e-07,6.00613717115e-08,3.60303280547e-06,6.00705702812e-08,12.78,1003,1.0
0,59.98,2.97685196653,3.16316603639,3.18854748603,-0.00748857675085,0.0591779927922,0.0405804010854,0.572359792314,1483.0,2.70656790548e-13,-1.15052983284e-13,-2.35245347686,5.92878775009e-323,-6.19438341995,-6.56122803144,-7.03142314579,7.90505033346e-323,8.3991159793e-323,2.11117788363,6.53773693922,0.229034280924,1.03753785627e-322,3.21498819283e-07,6.86252194986e-07,2.6031289822e-05,24.7666666667,1.20163180634e-07,5.63372135799e-12,16.2179400857,2.18573652799,15.5194294895,6.0,9.98218261686e-07,5.61571657654e-06,7.3331740293e-07,5.63577964503e-07,1.00602316434e-05,23.1618985026,23.8644415165,,-0.271068736274,0.0216263007422,61.8417467827,26445.2216596,3.0,3.0,4.0,1.0,0.75,2.0,3.0,0.666666666667,4.94169511263e-15,5.02349585915e-15,1.50988545593,0.337952277973,1.8478377339,1.6946167525e-07,5.69264703638e-08,3.41465741617e-06,5.69299335807e-08,45.66,1004,1.0
0,59.98,3.52986041048,4.03455819146,0.406660412758,0.871756755564,0.292086266439,-0.0776879290807,0.829626413684,1472.0,-3.84781689154e-13,2.95233673459e-13,-1.3033123378,5.92878775009e-323,-5.9354406101,-6.34384765283,-7.02311389177,7.90505033346e-323,8.3991159793e-323,3.24068322643,3.91579263132,0.434087200577,1.03753785627e-322,7.92612286634e-08,7.26706964079e-07,2.75371089221e-05,24.6166666667,1.30128200565e-07,4.79398570169e-12,13.5332593067,2.1774816887,15.5092521411,2.0,9.94142932456e-07,8.04485529149e-06,8.9269487262e-07,5.36607043227e-07,8.51396116892e-06,19.8989172872,21.9614032345,,-1.30999780755,-0.194284434514,55.1518024999,19778.0340902,2.0,3.0,2.0,0.666666666667,1.0,2.0,2.0,1.0,3.95572080951e-15,4.02737872637e-15,3.1445142587,1.62322900063,4.76774325933,1.7704076052e-07,5.01551732738e-08,3.00796025603e-06,5.01493873963e-08,17.34,1005,1.0
0,59.98,4.03118704918,4.26769183761,0.271840542833,1.02093370111,2.07685827635,-0.0150626832537,1.04599454206,1474.0,-3.92519935046e-12,1.21235711657e-12,-3.23765934708,5.92878775009e-323,-5.86267584883,-6.538224526,-7.00839636219,7.90505033346e-323,8.3991159793e-323,8.59431834114,7.64647461162,0.173987771457,1.03753785627e-322,9.78685422399e-08,7.981507864e-07,2.92797006553e-05,24.9833333333,1.18809730229e-07,7.35554665365e-12,14.0466459408,1.80161735706,15.4385502363,3.0,1.00381497027e-06,8.46006434924e-06,7.22599323046e-07,5.6199966169e-07,9.9585626396e-06,18.7601412347,21.3220502478,,-0.869852653088,2.21482798491,59.2106936776,31332.8522371,4.0,4.0,4.0,1.0,1.0,3.0,4.0,0.75,6.49229219303e-15,6.60497219433e-15,0.521867860288,6.01676667082,6.53863453111,2.61739199032e-07,6.49285671537e-08,3.89484044417e-06,6.49356526204e-08,12.82,1006,1.0
0,59.98,3.49396646791,3.8768403039,1.55669224211,0.787737466204,1.16313525219,0.0132762801352,0.983447695526,1477.0,-1.79288211355e-13,4.34441857999e-13,-0.412686319363,5.92878775009e-323,-6.07520215529,-6.55555071953,-7.03460635878,7.90505033346e-323,8.3991159793e-323,3.14808933316,2.58438198856,0.32896512059,1.03753785627e-322,1.93464373614e-07,7.2031450447e-07,3.55959652559e-05,24.6,1.4205408314e-07,5.97852084013e-12,15.5119179836,1.99320076145,15.6404197447,2.0,1.06934932728e-06,6.36975824617e-06,7.50478235946e-07,6.26347817155e-07,1.00189901671e-05,22.2867886158,23.3609820414,,-1.12203592959,-0.268069076939,56.4664929184,25927.370072,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,4.75226064536e-15,4.83866831239e-15,-3.44862749833,3.22499651505,-0.223630983281,1.98149183371e-07,5.67118159808e-08,3.40091256978e-06,5.67007764218e-08,36.52,1007,1.0
0,59.98,3.27627913443,3.7679994033,0.403369209172,0.445764911407,0.163653993121,0.0927204085991,0.79812039358,1447.0,-1.45068089115e-12,-2.73579559426e-13,5.30259239469,5.92878775009e-323,-5.68766432986,-6.28208592427,-6.75391328653,7.90505033346e-323,8.3991159793e-323,2.06607016555,2.87997662079,0.522494653564,1.03753785627e-322,9.94117156541e-08,1.04255474936e-06,2.87101237221e-05,24.9666666667,2.31658762753e-07,7.7352171717e-12,12.0105168039,1.81893953716,15.785627973,3.0,1.40515073822e-06,1.30713129574e-05,1.02417180501e-06,1.21753550802e-06,1.05365987161e-05,15.6674306658,19.3184220915,,-0.9544478216,0.801210466462,39.3394258949,7973.48528514,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,5.00474764426e-15,5.12708743209e-15,1.84568157786,5.00490791214,6.85058949,2.14764637278e-07,6.55513857232e-08,3.93090824108e-06,6.55369830124e-08,17.24,1008,1.0
0,59.98,3.49443473385,3.81951328992,0.365043240783,0.422911449764,-0.172830111789,-0.0237681583811,0.613262176415,1460.0,-3.92230080226e-12,5.00258241499e-12,-0.784055209267,0.0,-5.63519698757,-6.26577260249,-6.19091805992,0.0,0.0,2.96250162709,2.87955738343,1.12779954653,0.0,1.24480098813e-07,1.45855367107e-06,2.59277957499e-05,24.95,6.11625730563e-07,9.11139111174e-12,12.8177795766,1.7104660711,15.8698957031,7.0,2.07500438321e-06,1.47012891577e-05,2.53510764938e-06,4.53117812549e-06,1.45292495085e-05,14.3245349531,18.3248639316,,3.9179192871,-0.911764009297,41.2756005469,1187.52059038,3.0,2.0,4.0,1.5,0.75,3.0,3.0,1.0,6.17494584231e-15,6.31225220512e-15,-6.3846811236,7.00112461871,0.616443495113,2.5906474475e-07,7.41363809832e-08,4.44745317896e-06,7.41489359614e-08,16.04,1009,1.0
