,Window_Length,RappMaxMean,RappMaxMedian,AsDec,KurtoSig,KurtoEnv,SkewSig,SkewEnv,CorPeakNumber,Energy1/3Cor,Energy2/3Cor,int_ratio,E_0.1_1,E_1_3,E_3_10,E_10_20,E_20_50,Kurt_0.1_1,Kurt_1_3,Kurt_3_10,Kurt_10_20,Kurt_20_50,RMSDecPhaseLine,MeanFFT,MaxFFT,FMaxFFT,MedianFFT,VarFFT,FCentroid,Fquart1,Fquart3,NPeakFFT,MeanPeaksFFT,E1FFT,E2FFT,E3FFT,E4FFT,Gamma1,Gamma2,Gamma,KurtoMaxDFT,KurtoMedianDFT,MaxOverMeanDFT,MaxOverMedianDFT,NbrPeaksMaxDFT,NbrPeaksMeanDFT,NbrPeaksMedianDFT,45/46,45/47,NbrPeaksCentralFreq,NbrPeaksMaxFreq,50/51,DistMaxMeanFreqDTF,DistMaxMedianFreqDTF,DistQ2Q1DFT,DistQ3Q2DFT,DistQ3Q1DFT,Peak_Envelope_Amplitude,Average_Envelope_Amplitude,Envelope_Area,Envelope_Velocity,Envelope_Rise_Time,serial_no,label
0,59.98,3.40513776908,3.6954612148,0.47371007371,0.413201700566,0.977967714299,0.0104373497979,0.925761491468,1323.0,6.70253624814e-12,-5.55893123517e-12,-1.2057238999,0.0,-5.52372540019,-6.28540834549,-6.94311195544,0.0,3.95252516673e-323,2.6052174441,1.97091327913,20.2525899072,4.94065645841e-323,1.09166575937e-07,1.04666658529e-06,4.05398750578e-05,1.36666666667,1.57412064601e-07,1.11071312943e-11,10.9419324734,1.63904465872,15.6626056636,2.0,1.45923126882e-06,1.44634807815e-05,1.07376527314e-06,7.0558795561e-07,9.87060114024e-06,11.1945672445,16.0363942078,,2.19908583362,1.72826184965,49.9696116658,71874.4570376,4.0,3.0,3.0,1.33333333333,1.33333333333,3.0,4.0,0.75,7.85233390219e-15,8.01228391447e-15,-2.49601760366,4.89629089688,2.40027329322,2.68220836151e-07,7.87694520281e-08,4.72391748587e-06,7.87582108349e-08,19.28,0,1.0
0,59.98,3.11090501644,3.41264996832,0.508551307847,0.120050516576,0.608229486724,-0.0186427078785,0.843276985033,1473.0,-2.75639184604e-12,3.58791565495e-12,-0.768243211692,0.0,-5.81701145869,-6.5542199176,-6.79589089666,0.0,0.0,3.14119710637,2.57008851232,1.33190132001,0.0,9.14581228537e-08,8.7263652143e-07,2.92206591647e-05,24.9166666667,1.88815976624e-07,7.1049333461e-12,14.853330282,1.70452474469,16.0488555222,3.0,1.1048715487e-06,8.12644448412e-06,8.60751322017e-07,9.98975332648e-07,1.1734260554e-05,18.6800719934,21.2728950089,,-0.178404359794,0.245277489367,55.1797973024,34580.0965061,4.0,4.0,2.0,1.0,2.0,2.0,4.0,0.5,5.96538275964e-15,6.07097317149e-15,-9.40177413709,8.86037417036,-0.541399966729,1.97477763795e-07,6.34792006671e-08,3.80504191905e-06,6.34385114881e-08,20.22,1000,1.0
0,59.98,3.05168450856,3.2289316872,0.619330453564,-0.0553301015403,0.427071948155,0.0551146728168,0.674353905014,1471.0,-4.47014147786e-13,-1.8929633727e-12,0.236145164895,5.92878775009e-323,-5.66718000917,-6.33256648656,-6.79857846466,7.90505033346e-323,8.3991159793e-323,0.86039179248,2.83196550846,-0.532015697925,1.03753785627e-322,1.01552210265e-07,8.70425329158e-07,3.79928442415e-05,24.6,1.10582643169e-07,7.21219316268e-12,11.9714099765,1.84612958248,16.0723791003,1.0,1.16785058679e-06,1.12844087413e-05,7.30255146704e-07,6.03832978079e-07,9.0839871927e-06,15.6813656387,19.3206737801,,0.298405993318,0.232015495034,46.1680859385,26113.7284674,4.0,4.0,4.0,1.0,1.0,5.0,4.0,1.25,4.58002711492e-15,4.68379560901e-15,1.3773755096,3.97408620117,5.35146171077,1.98074352672e-07,6.49065629546e-08,3.89384696638e-06,6.4919089136e-08,22.94,1001,1.0
0,59.98,3.6256927619,3.98319246465,0.471540726202,0.546613599444,2.03673584099,0.0237984994568,1.10381389948,1452.0,-1.09822189373e-11,9.49213299787e-12,-1.15698114847,5.92878775009e-323,-5.71878738765,-6.42963935135,-7.12488205231,7.90505033346e-323,8.3991159793e-323,3.19874886067,8.82816690838,1.97741250947,1.03753785627e-322,1.16911789361e-07,9.18265031304e-07,3.72966800485e-05,1.01666666667,1.24490703048e-07,9.23341103343e-12,12.3776194377,1.63673012567,15.6905118405,3.0,1.20287244133e-06,1.15000289816e-05,6.00135136087e-07,5.45963012532e-07,1.02263276479e-05,14.2862425789,18.4264211917,,-0.420987571157,0.445748726726,52.4364278062,65753.7093747,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,7.1296731025e-15,7.26467014978e-15,-0.917013981047,4.03945990389,3.12244592285,2.5959467541e-07,7.15986412688e-08,4.29315783456e-06,7.15764894057e-08,19.22,1002,1.0
0,59.98,2.87674403888,3.24594419944,0.508551307847,0.264440460908,-0.368767880721,-0.048801939509,0.626188501503,1476.0,-1.69118572636e-13,3.1046819638e-13,-0.544721084504,5.92878775009e-323,-6.0890864038,-6.320734083,-6.93978738581,7.90505033346e-323,8.3991159793e-323,1.78395749346,4.55709622272,0.607516719072,1.03753785627e-322,9.28109723365e-08,8.10837530679e-07,3.87060359141e-05,24.7833333333,1.09298388852e-07,7.76385522524e-12,15.186788687,2.5040157912,15.9087449197,2.0,1.1434715248e-06,7.74500702649e-06,8.93702094317e-07,4.84508407368e-07,1.09991270914e-05,22.7378677296,23.5810456355,,-1.33921282179,1.83936162817,59.694934464,49388.2249019,4.0,4.0,3.0,1.0,1.33333333333,3.0,4.0,0.75,7.00995547021e-15,7.12437566114e-15,3.87001267807,3.79345629136,7.66346896944,1.84754279802e-07,6.42233988514e-08,3.85284634038e-06,6.42355175122e-08,20.22,1003,1.0
0,59.98,3.99277820089,4.46046303449,inf,0.161408029478,0.525139821503,0.0224799585301,0.882270210508,1480.0,5.9857504238e-14,-8.23859677378e-14,-0.726549749691,5.92878775009e-323,-6.21045594399,-6.59635255569,-7.12029958477,7.90505033346e-323,8.3991159793e-323,3.46408003162,5.94567812079,0.67624242882,1.03753785627e-322,inf,7.21778136972e-07,3.783293223e-05,24.6166666667,1.67348351374e-07,6.07297185588e-12,16.9597059389,2.18021989314,15.8644605251,1.0,9.85275013247e-07,5.17253594035e-06,7.53571734329e-07,7.33167052724e-07,1.11480753261e-05,23.4105145723,23.9997673631,,-1.15318858506,1.04320542474,62.7726396058,41794.8451784,2.0,2.0,4.0,1.0,0.5,3.0,2.0,1.5,4.96512503077e-15,5.0459801068e-15,2.71829175617,1.03967012463,3.7579618808,2.32857035166e-07,5.83195518133e-08,3.4949293769e-06,5.82682456969e-08,59.98,1004,1.0
0,59.98,2.79340383778,3.02935867712,0.642387732749,0.0531141702657,0.0650911440618,-0.0210169230317,0.661738867512,1473.0,1.32899359672e-12,6.09137242419e-14,21.8176381966,5.92878775009e-323,-5.79019241467,-6.29261293632,-6.99393907854,7.90505033346e-323,8.3991159793e-323,2.9844380782,4.6917641721,47.2831306953,1.03753785627e-322,9.21420624919e-08,8.82011122989e-07,2.81810460462e-05,24.8666666667,1.53780749918e-07,6.0884827186e-12,12.6716120778,1.99020400901,15.9594072397,4.0,1.28335517594e-06,1.06837916672e-05,7.99834344678e-07,6.71489201291e-07,9.8604396462e-06,17.5735272791,20.5362886045,,1.05992532915,-0.339680035045,47.4791502527,26950.9676242,5.0,4.0,3.0,1.25,1.66666666667,3.0,5.0,0.6,4.5539974043e-15,4.64483876005e-15,1.39032405969,6.10540518541,7.49572924511,1.67620620881e-07,6.00058676136e-08,3.59753233387e-06,5.99788651862e-08,23.46,1005,1.0
0,59.98,3.10304137934,3.41301355919,0.457948468644,0.4040499158,0.48619444021,-0.0438622644001,0.827940763044,1367.0,2.933773693e-12,-8.66147308899e-12,-0.338715327388,5.92878775009e-323,-5.54140506332,-6.33087782372,-7.08546433475,7.90505033346e-323,8.3991159793e-323,1.4924215629,2.77747966547,0.852760275991,1.03753785627e-322,1.13789507098e-07,1.01943387112e-06,4.90552997308e-05,1.3,1.10871914367e-07,1.27604774634e-11,12.2189088162,1.68656024402,15.4885012905,1.0,1.28057166219e-06,1.30335033738e-05,7.16007605154e-07,4.59045042472e-07,1.10583060354e-05,13.3990534731,17.7696578054,,-0.77251396404,-0.292425732522,55.7122228327,96311.005713,3.0,5.0,3.0,0.6,1.0,3.0,3.0,1.0,1.08518626731e-14,1.10412017071e-14,-3.27576145732,12.2280508254,8.95228936803,2.61437677767e-07,8.42520758853e-08,5.05453180296e-06,8.42702868117e-08,18.84,1006,1.0
0,59.98,2.78057991117,2.97009110726,0.700113378685,-0.077258178374,-0.514806707881,-0.0515963435902,0.465679431613,1475.0,1.83201145214e-13,-5.87331597578e-14,-3.11921146366,5.92878775009e-323,-5.87564537703,-6.51497080981,-6.87427643382,7.90505033346e-323,8.3991159793e-323,2.14797478419,3.283702396,-0.107237871047,1.03753785627e-322,1.05244604259e-07,7.95309541289e-07,3.40925068106e-05,24.6666666667,1.03030214957e-07,7.45536464582e-12,14.5024251205,1.77973409388,16.270343667,3.0,1.13067632141e-06,8.07058909485e-06,6.86750825559e-07,5.26824713934e-07,1.05219409385e-05,20.3454792989,22.2645238307,,1.99471372687,-0.042943923775,57.4308746121,34470.4811858,5.0,4.0,3.0,1.25,1.66666666667,4.0,5.0,0.8,6.16627171084e-15,6.27139699157e-15,-1.60182505067,5.77646386915,4.17463881848,1.7871729489e-07,6.42733892208e-08,3.85579712784e-06,6.42847137018e-08,24.7,1007,1.0
0,59.98,3.42041573802,3.90021160772,0.335857461024,0.702609145766,0.445968917276,-0.0397408139582,0.87526872154,1373.0,-3.52471934237e-13,3.26946057281e-12,-0.107807366502,0.0,-5.59049469846,-6.15421767392,-6.87863263883,0.0,0.0,2.68771209876,2.07687789101,0.235478526014,0.0,9.17974133106e-08,1.02512499995e-06,2.63694302726e-05,1.35,1.48977382982e-07,7.75005413013e-12,10.13981723,1.8387785779,15.7735491203,5.0,1.42896356807e-06,1.53170802883e-05,8.83988714787e-07,6.79651845437e-07,8.68031374564e-06,11.5019681528,16.2031141736,,-0.89590266918,0.582632749774,35.7262831867,19633.1194737,2.0,2.0,4.0,1.0,0.5,3.0,2.0,1.5,4.32703310164e-15,4.44718096557e-15,-3.39017016816,-0.455639840198,-3.84581000835,2.24360900219e-07,6.55946286661e-08,3.93423001819e-06,6.55923644247e-08,15.08,1008,1.0
0,59.98,3.718282463,4.15834391398,0.535586277522,0.819760140465,1.62263772811,0.0421706337252,1.14088774376,1434.0,-8.45996583255e-14,-6.48472060843e-14,1.30459989619,5.92878775009e-323,-5.66450021537,-6.3523340406,-7.05472445505,7.90505033346e-323,8.3991159793e-323,5.86125402834,4.637990439,1.36824429225,1.03753785627e-322,1.21496491074e-07,9.51864483938e-07,2.74268857569e-05,24.9,9.68656802207e-08,9.294482527e-12,11.8119262207,1.67884118341,15.2547691247,6.0,1.24404947654e-06,1.26123622472e-05,6.41425194285e-07,4.758192692e-07,9.91711059323e-06,14.9500827916,18.8253757858,,3.78452551561,3.310352646,46.3896157304,51271.1136189,4.0,2.0,3.0,2.0,1.33333333333,3.0,4.0,0.75,7.09765501623e-15,7.23608686694e-15,-1.4595657364,7.29320398742,5.83363825102,2.60858974477e-07,7.01557714005e-08,4.20834080883e-06,7.01624009476e-08,20.92,1009,1.0
0,59.98,3.63961717822,4.16950881481,0.381391064026,1.25878379865,2.05447240946,0.0391342967773,1.28863304862,1461.0,-4.35664905847e-12,-8.10764686229e-13,5.37350618801,5.92878775009e-323,-5.60148547965,-6.22564393904,-6.8325268991,7.90505033346e-323,8.3991159793e-323,4.82079695404,3.38187963247,0.0913115190505,1.03753785627e-322,1.17588884767e-07,1.17656220569e-06,2.79872522407e-05,24.6666666667,1.56182431523e-07,1.04404732612e-11,10.3654678162,1.70253173863,15.233976352,4.0,1.64709561282e-06,1.71178958877e-05,1.24744123943e-06,6.42940600166e-07,1.03437783539e-05,12.6936690032,17.208573369,,0.305606308284,0.606473884484,42.9969480972,19107.4300523,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,6.66445199804e-15,6.82413700842e-15,-3.60562821644,8.29171906566,4.68609084922,2.73726318305e-07,7.52074476246e-08,4.51161808509e-06,7.52187076541e-08,16.56,100,1.0
