,Window_Length,RappMaxMean,RappMaxMedian,AsDec,KurtoSig,KurtoEnv,SkewSig,SkewEnv,CorPeakNumber,Energy1/3Cor,Energy2/3Cor,int_ratio,E_0.1_1,E_1_3,E_3_10,E_10_20,E_20_50,Kurt_0.1_1,Kurt_1_3,Kurt_3_10,Kurt_10_20,Kurt_20_50,RMSDecPhaseLine,MeanFFT,MaxFFT,FMaxFFT,MedianFFT,VarFFT,FCentroid,Fquart1,Fquart3,NPeakFFT,MeanPeaksFFT,E1FFT,E2FFT,E3FFT,E4FFT,Gamma1,Gamma2,Gamma,KurtoMaxDFT,KurtoMedianDFT,MaxOverMeanDFT,MaxOverMedianDFT,NbrPeaksMaxDFT,NbrPeaksMeanDFT,NbrPeaksMedianDFT,45/46,45/47,NbrPeaksCentralFreq,NbrPeaksMaxFreq,50/51,DistMaxMeanFreqDTF,DistMaxMedianFreqDTF,DistQ2Q1DFT,DistQ3Q2DFT,DistQ3Q1DFT,Peak_Envelope_Amplitude,Average_Envelope_Amplitude,Envelope_Area,Envelope_Velocity,Envelope_Rise_Time,serial_no,label
0,59.98,7.58334063889,9.9441492001,0.301084598698,12.7148461969,16.1505378422,0.146172862866,3.67918856623,1244.0,1.21254202277e-11,-6.55265908444e-12,-1.85045797003,0.0,-5.30886473474,-6.10975017872,-6.71362597509,0.0,3.95252516673e-323,19.8917032123,18.6048416179,13.3218502988,4.94065645841e-323,3.88277342062e-07,1.82293677516e-06,6.09584082118e-05,1.45,2.7595446861e-07,3.94208929335e-11,8.93318575518,1.55709134611,14.9735072241,5.0,2.44223321334e-06,2.91175368511e-05,1.49901806469e-06,1.65664729503e-06,1.31601133807e-05,6.03171829038,11.0749677223,,1.9144531447,7.75854939143,46.0212714381,107400.988506,4.0,4.0,3.0,1.0,1.33333333333,2.0,4.0,0.5,2.50590854057e-14,2.56205409504e-14,-0.990099625484,2.36357768913,1.37347806365,8.93149046195e-07,1.17777782738e-07,7.06270276637e-06,1.17750963094e-07,13.88,0,1.0
0,59.98,4.01442350452,4.84356032322,0.43287147635,0.857968592776,1.16117955131,0.0281893255971,1.10149191487,1455.0,-1.2288001272e-12,2.42243008248e-13,-5.07259274926,0.0,-5.6894362722,-6.39439067492,-6.93398678905,0.0,0.0,4.4768686706,6.91809491429,1.87590153824,0.0,1.43797020912e-07,1.01909914625e-06,3.93616113468e-05,24.8833333333,1.38508262864e-07,1.21378588246e-11,13.4397917384,1.75979602188,15.167261085,4.0,1.29582377248e-06,1.14789207311e-05,9.20796283348e-07,7.36063936786e-07,1.22913646847e-05,17.977451422,20.8358781822,,-0.520394583225,0.0161693502745,52.3858822094,41764.8368478,3.0,3.0,3.0,1.0,1.0,1.0,3.0,0.333333333333,8.64370880893e-15,8.82092153926e-15,-0.237105989853,5.29920862009,5.06210263024,3.13105159539e-07,7.79950493979e-08,4.67901513945e-06,7.80095888538e-08,18.12,1000,1.0
0,59.98,3.19530917174,3.61635196365,0.365664845173,0.749827713642,0.643021059695,-0.0124271402591,0.9627447301,1444.0,2.05692880815e-14,-6.97322797179e-12,-0.00294975127225,5.92878775009e-323,-5.49948778469,-6.22891863416,-6.61700531915,7.90505033346e-323,8.3991159793e-323,4.51050349559,5.33171831899,-0.112120775664,1.03753785627e-322,1.23423515203e-07,1.21870990722e-06,3.71263382988e-05,24.6166666667,1.48449584288e-07,1.62513987476e-11,11.7618272315,1.72676130459,16.460263176,6.0,1.55342515755e-06,1.61245346131e-05,6.95011460389e-07,1.05216538874e-06,1.24901619131e-05,12.8276705342,17.2738369587,,4.41354723073,0.425115172856,50.7376401194,42005.755261,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.30842104228e-14,1.33234624854e-14,-5.69279224553,7.23603846634,1.54324622081,2.9781275088e-07,9.32031095811e-08,5.59038504353e-06,9.32041521095e-08,16.06,1001,1.0
0,59.98,4.7025754453,5.46693524315,0.252192066806,1.45086482796,3.24669326388,0.107476308372,1.33659123736,1464.0,-1.77409563242e-12,6.16626688184e-12,-0.287709835856,5.92878775009e-323,-5.61703420848,-6.37630532185,-6.76852717511,7.90505033346e-323,8.3991159793e-323,8.80957738409,10.5385046515,3.93437693859,1.03753785627e-322,1.79093984555e-07,1.24576207692e-06,4.46977684745e-05,24.5333333333,1.64826005992e-07,1.6334754948e-11,12.6338695504,1.58958446973,15.8703428746,3.0,1.57079980061e-06,1.52555380939e-05,6.73251881871e-07,7.75122707696e-07,1.42682519953e-05,15.688066562,19.3799451747,,1.63619439868,-0.0165174930862,53.8337866078,78280.2077766,5.0,5.0,4.0,1.0,1.25,4.0,5.0,0.8,1.15341815328e-14,1.17796830217e-14,1.26055674084,4.33205851944,5.59261526029,4.3598125807e-07,9.27111671342e-08,5.56008484879e-06,9.26989804734e-08,12.08,1002,1.0
0,59.98,2.75612441065,3.01913369422,0.4995,0.109107426899,-0.442367393414,0.020275207499,0.519881828424,1485.0,-7.17434464287e-14,-1.45457996433e-13,0.493224492211,5.92878775009e-323,-6.14610157195,-6.59485773739,-7.09416484069,7.90505033346e-323,8.3991159793e-323,10.2043188571,10.2548027013,0.100135471817,1.03753785627e-322,9.31403049087e-08,7.72022511678e-07,3.53921851542e-05,24.8333333333,1.35716550883e-07,6.84703309216e-12,16.2228810798,2.02070775951,15.575842194,1.0,1.06829250601e-06,6.35429352e-06,7.01559523033e-07,5.50658604094e-07,1.16491881279e-05,22.7721175497,23.6508469144,,-0.216483686607,-0.798456395474,60.6160270025,46965.2875013,4.0,3.0,3.0,1.33333333333,1.33333333333,3.0,4.0,0.75,6.36129873612e-15,6.46067554384e-15,0.575501699965,3.53189027363,4.1073919736,1.71579867007e-07,6.22540355378e-08,3.73268897039e-06,6.22322269155e-08,19.98,1004,1.0
0,59.98,5.03616462435,5.44313076494,0.284918594687,1.72599137546,5.0685993729,0.10699542543,1.64145887249,1422.0,-2.70266774839e-12,1.20579250112e-12,-2.24140367922,5.92878775009e-323,-5.64998151544,-6.20997761381,-6.65713896749,7.90505033346e-323,8.3991159793e-323,7.13631535062,5.31030792572,-0.466497812954,1.03753785627e-322,1.60999215023e-07,1.17229273411e-06,3.1440814061e-05,24.75,1.76885600907e-07,1.09227839803e-11,11.846693411,1.90624432562,16.1718825379,4.0,1.59102807465e-06,1.53885071397e-05,8.75017779026e-07,9.48404513093e-07,1.18844055135e-05,15.1183603362,18.9169041063,,-1.3619206289,-0.836652708136,50.4311870832,18753.3488454,3.0,2.0,3.0,1.5,1.0,3.0,3.0,1.0,7.39477270147e-15,7.55711399431e-15,-1.70926874335,6.96523407817,5.25596533481,3.85162727879e-07,7.64793759951e-08,4.58752314178e-06,7.64842137676e-08,13.3,1005,1.0
0,59.98,5.09081927014,5.65855582046,0.330523513753,2.67212902295,7.09750345032,-0.125227142008,2.13319658718,1430.0,-1.22675678408e-11,1.0477656395e-11,-1.17083127929,5.92878775009e-323,-5.51910033484,-6.32311700932,-6.99897397782,7.90505033346e-323,8.3991159793e-323,10.5418155443,12.5061061899,4.83319108298,1.03753785627e-322,1.83790606788e-07,1.16688137418e-06,4.06170261909e-05,1.25,1.14675673625e-07,1.74836012878e-11,11.6609095085,1.63231233505,15.6060507484,6.0,1.52836998401e-06,1.56918019673e-05,7.40576396722e-07,5.43713988796e-07,1.21333922675e-05,12.8354104354,17.3584854971,,1.85997170437,0.711118122996,57.7948475696,82427.3888478,3.0,2.0,3.0,1.5,1.0,4.0,3.0,1.33333333333,1.26189957948e-14,1.28713339826e-14,-7.15009189044,7.59223713677,0.442145246337,4.6803081041e-07,9.1936245538e-08,5.51519667175e-06,9.19505947275e-08,14.9,1006,1.0
0,59.98,4.28431637167,4.55963903844,0.200080032013,0.0839539257693,3.793359205,0.028721229955,1.20478775398,1451.0,-2.30475990867e-13,2.10613079871e-12,-0.109430995933,5.92878775009e-323,-5.73781008151,-6.40002885317,-7.03936365069,7.90505033346e-323,8.3991159793e-323,3.14985108745,3.67249339945,3.40469250881,1.03753785627e-322,1.12644695386e-07,9.89484124261e-07,2.94620146869e-05,24.6333333333,1.95354819029e-07,7.43698545903e-12,13.5174419111,1.78019947447,15.796561998,2.0,1.2313477114e-06,1.08584052382e-05,8.61371538788e-07,9.05981281877e-07,1.19857475311e-05,17.1867148115,20.3066589166,,0.4367136362,-0.098385119406,54.0020916227,37557.8692754,2.0,3.0,4.0,0.666666666667,0.5,2.0,2.0,1.0,5.48097893879e-15,5.59123184556e-15,-7.99566462644,8.20944373579,0.213779109341,2.84256871464e-07,6.63482448084e-08,3.97627590375e-06,6.62933628502e-08,10.0,1007,1.0
0,59.98,2.92562794223,3.24697018923,0.696266968326,0.489571297315,-0.0390035696434,-0.0569234550652,0.710376069434,1335.0,1.95863322113e-12,-1.50461563809e-12,-1.30174987655,5.92878775009e-323,-5.43060633111,-6.11842656436,-6.60471088813,7.90505033346e-323,8.3991159793e-323,1.28915961001,1.57640464677,0.0140112358246,1.03753785627e-322,1.48196049806e-07,1.22859468096e-06,4.78878053586e-05,1.66666666667,1.38230474024e-07,1.51738215211e-11,10.5919882292,1.6842649183,16.1918644156,2.0,1.56561137624e-06,1.78912519949e-05,6.58411104999e-07,7.82410530975e-07,1.13103864893e-05,10.7181639087,15.5951037643,,-1.40378120163,0.417031910823,47.7067810018,34242.3198835,4.0,4.0,2.0,1.0,2.0,3.0,4.0,0.75,1.05403989746e-14,1.07634319113e-14,-5.55420242503,3.45737435596,-2.09682806907,2.6449933046e-07,9.04077126972e-08,5.42372547171e-06,9.0425566384e-08,24.62,1008,1.0
0,59.98,4.29233304253,5.20789375468,0.380755064457,1.89762557218,2.31207551374,-0.0526910668959,1.48395177032,1413.0,4.90592447074e-12,-5.29289211149e-12,-0.926889187878,0.0,-5.50758406208,-6.19268544884,-6.72316989482,0.0,0.0,6.54780500719,6.99698271268,0.573150764782,0.0,1.62904503343e-07,1.29006026768e-06,3.72575886983e-05,24.75,1.39847650011e-07,1.74645486925e-11,11.4448246916,1.70528035733,16.0100190821,8.0,1.67112406862e-06,1.76078493386e-05,7.68946838305e-07,8.80137232111e-07,1.27655555532e-05,12.6391744435,17.1022626951,,2.19807802129,-0.895743825055,59.1465234477,50221.9997775,4.0,4.0,1.0,1.0,4.0,3.0,4.0,0.75,1.52607255762e-14,1.55206221769e-14,1.48483954034,3.71951928377,5.20435882411,3.9288117675e-07,9.15309163703e-08,5.49032662039e-06,9.15359556584e-08,16.54,1009,1.0
