time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-11T21:58:52.006Z,61.1229,-146.917,0,1.6,ml,,,,0.55,ak,ak022384h24q,2022-04-13T16:52:06.958Z,"30 km W of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-03-10T20:23:11.759Z,61.165,-147.7144,0,1.2,ml,,,,0.62,ak,ak02236g4kjr,2022-04-14T04:51:45.690Z,"65 km WNW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-03-10T18:54:39.757Z,61.2664,-147.7284,0,1.4,ml,,,,0.77,ak,ak02236f4eou,2022-04-14T04:50:22.619Z,"Southern Alaska",ice quake,,0,,,reviewed,ak,ak
2022-03-10T16:32:36.032Z,61.2221,-146.9044,0,1.2,ml,,,,0.89,ak,ak02236dstg3,2022-04-14T04:50:54.866Z,"31 km WNW of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-03-10T09:34:12.503Z,61.2095,-147.7274,0,1.1,ml,,,,0.63,ak,ak022369n5tu,2022-04-14T00:50:28.767Z,"66 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-03-10T03:39:12.711Z,61.2875,-147.6894,0,1.3,ml,,,,0.72,ak,ak0223663n5a,2022-04-14T00:44:56.033Z,"58 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-03-10T00:50:41.965Z,61.201,-147.6992,0,1,ml,,,,0.59,ak,ak022364dr44,2022-04-14T00:45:38.634Z,"66 km WNW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-03-09T17:59:58.805Z,61.3538,-147.7368,0,1.3,ml,,,,0.4,ak,ak02234r0q8c,2022-04-11T21:49:05.528Z,"50 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-03-08T16:31:45.771Z,61.2654,-147.7114,0,1.2,ml,,,,0.76,ak,ak022332pwn4,2022-04-11T22:11:03.744Z,"60 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-03-05T13:20:53.559Z,61.2517,-147.7145,6.3,1.2,ml,,,,0.59,ak,ak0222y298le,2022-04-05T02:56:28.212Z,"62 km S of Glacier View, Alaska",ice quake,,1.5,,,reviewed,ak,ak
2022-03-03T04:02:15.408Z,61.2667,-147.6764,0,1.2,ml,,,,0.33,ak,ak0222ulpqf2,2022-04-01T22:26:03.737Z,"60 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-03-02T22:58:00.225Z,61.2363,-147.6754,0,1,ml,,,,0.38,ak,ak0222t97y05,2022-03-31T19:12:40.738Z,"63 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-03-01T22:21:51.765Z,61.2566,-147.7865,0,0.9,ml,,,,0.82,ak,ak0222rlgz1m,2022-03-30T00:11:42.311Z,"61 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-03-01T06:52:04.459Z,61.1237,-146.9077,0,1.3,ml,,,,0.81,ak,ak0222rc4l4c,2022-03-29T20:54:21.347Z,"30 km W of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-03-01T01:34:39.018Z,61.2,-146.9629,0,1.1,ml,,,,0.64,ak,ak0222r91l24,2022-03-29T20:42:09.199Z,"33 km WNW of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-28T20:59:02.490Z,61.1787,-146.9064,0,0.9,ml,,,,0.38,ak,ak0222pwyso7,2022-04-13T22:48:37.767Z,"30 km W of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-28T19:58:07.032Z,61.2555,-147.7174,0,1.1,ml,,,,0.84,ak,ak0222pwd5q3,2022-03-28T22:41:58.043Z,"61 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-27T04:24:50.867Z,61.1803,-146.947,0,1.6,ml,,,,0.52,ak,ak0222nzp2dz,2022-03-25T17:25:01.695Z,"32 km W of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-26T21:34:37.730Z,61.2552,-147.4896,0,1.1,ml,,,,0.38,ak,ak0222mmc8ty,2022-03-24T20:12:11.107Z,"61 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-21T16:58:01.277Z,61.267,-147.6631,0,1.5,ml,,,,0.63,ak,ak0222e9tezn,2022-03-18T16:43:04.601Z,"60 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-21T13:36:05.082Z,61.2907,-147.6688,0,1.4,ml,,,,1.01,ak,ak0222e7weot,2022-03-18T16:39:01.135Z,"57 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-21T09:34:31.538Z,61.3029,-147.7128,0,1.2,ml,,,,0.79,ak,ak0222e5iazj,2022-03-18T16:37:23.300Z,"56 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-21T02:29:55.181Z,61.2012,-146.9444,0,1.2,ml,,,,0.88,ak,ak0222e1b800,2022-03-17T18:27:01.917Z,"33 km WNW of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-21T01:58:41.987Z,61.2601,-147.6161,0,0.9,ml,,,,0.57,ak,ak0222e0w0s9,2022-03-17T18:26:38.336Z,"61 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-19T20:05:20.097Z,61.1836,-146.9766,0,1.4,ml,,,,0.65,ak,ak0222b0t5rw,2022-03-16T19:11:36.732Z,"34 km W of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-17T22:42:02.191Z,61.2569,-147.6569,0,1,ml,,,,0.58,ak,ak02227r57yr,2022-03-15T21:50:17.593Z,"61 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-16T11:19:53.470Z,61.1524,-147.4663,0,1.3,ml,,,,0.4,ak,ak02225wx9lo,2022-03-14T20:02:37.903Z,"53 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-16T06:28:24.930Z,61.2022,-146.8843,0,1.3,ml,,,,0.53,ak,ak02225tzywy,2022-03-15T20:18:31.841Z,"29 km WNW of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-16T05:20:45.434Z,61.2777,-147.6583,0,1.4,ml,,,,0.55,ak,ak02225tcv1y,2022-03-15T20:18:14.691Z,"59 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
